year,raw.data,fitted.data,Seup,Selo,metric,timeseries,order
2001,9.687435151,9.687435151,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2002,9.565982327,9.565982327,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2003,9.902488658,9.902488658,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2004,10.29948793,10.29948793,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2005,10.00449406,10.00449406,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2006,10.90754882,10.90754882,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2007,10.34038368,10.34038368,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2008,9.878130873,9.878130873,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2009,8.160398678,8.160398678,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2010,8.314537117,8.314537117,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2011,8.780379419,8.780379419,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2012,8.306685666,8.306685666,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2013,8.403500129,8.403500129,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2014,8.486479699,8.486479699,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2015,8.277246831,8.277246831,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
2016,8.268260326,8.268260326,NA,NA,Trillions of cubic meters,Commercial shipping activity (water displacement),4
1997,27.25464794,27.25464794,NA,NA,Millions of km,Commercial shipping activity,5
1998,17.68676229,17.68676229,NA,NA,Millions of km,Commercial shipping activity,5
1999,28.25573514,28.25573514,NA,NA,Millions of km,Commercial shipping activity,5
2000,31.40238408,31.40238408,NA,NA,Millions of km,Commercial shipping activity,5
2001,26.66188221,26.66188221,NA,NA,Millions of km,Commercial shipping activity,5
2002,27.01581368,27.01581368,NA,NA,Millions of km,Commercial shipping activity,5
2003,26.8765038,26.8765038,NA,NA,Millions of km,Commercial shipping activity,5
2004,27.57169331,27.57169331,NA,NA,Millions of km,Commercial shipping activity,5
2005,27.69367437,27.69367437,NA,NA,Millions of km,Commercial shipping activity,5
2006,29.27928235,29.27928235,NA,NA,Millions of km,Commercial shipping activity,5
2007,28.10124653,28.10124653,NA,NA,Millions of km,Commercial shipping activity,5
2008,26.46682315,26.46682315,NA,NA,Millions of km,Commercial shipping activity,5
2009,22.35579196,22.35579196,NA,NA,Millions of km,Commercial shipping activity,5
2010,22.43485584,22.43485584,NA,NA,Millions of km,Commercial shipping activity,5
2011,23.45975257,23.45975257,NA,NA,Millions of km,Commercial shipping activity,5
2012,22.31695188,22.31695188,NA,NA,Millions of km,Commercial shipping activity,5
2013,22.14884584,22.14884584,NA,NA,Millions of km,Commercial shipping activity,5
2014,22.38176632,22.38176632,NA,NA,Millions of km,Commercial shipping activity,5
2015,21.95935476,21.95935476,NA,NA,Millions of km,Commercial shipping activity,5
2016,21.87946688,21.87946688,NA,NA,Millions of km,Commercial shipping activity,5
2017,22.61271998,22.61271998,NA,NA,Millions of km,Commercial shipping activity,5
2018,22.96427774,22.96427774,NA,NA,Millions of km,Commercial shipping activity,5
1995,21.32092878,21.32092878,NA,NA,Millions of cubic meters,Dredging,6
1996,15.76357218,15.76357218,NA,NA,Millions of cubic meters,Dredging,6
1997,13.54781422,13.54781422,NA,NA,Millions of cubic meters,Dredging,6
1998,9.626061423,9.626061423,NA,NA,Millions of cubic meters,Dredging,6
1999,16.48448472,16.48448472,NA,NA,Millions of cubic meters,Dredging,6
2000,11.73223039,11.73223039,NA,NA,Millions of cubic meters,Dredging,6
2001,11.26083874,11.26083874,NA,NA,Millions of cubic meters,Dredging,6
2002,7.668432471,7.668432471,NA,NA,Millions of cubic meters,Dredging,6
2003,8.106013212,8.106013212,NA,NA,Millions of cubic meters,Dredging,6
2004,12.1408085,12.1408085,NA,NA,Millions of cubic meters,Dredging,6
2005,8.478572384,8.478572384,NA,NA,Millions of cubic meters,Dredging,6
2006,10.96707994,10.96707994,NA,NA,Millions of cubic meters,Dredging,6
2007,16.8917608,16.8917608,NA,NA,Millions of cubic meters,Dredging,6
2008,4.842324249,4.842324249,NA,NA,Millions of cubic meters,Dredging,6
2009,14.4465324,14.4465324,NA,NA,Millions of cubic meters,Dredging,6
2010,9.605998739,9.605998739,NA,NA,Millions of cubic meters,Dredging,6
2011,8.448435925,8.448435925,NA,NA,Millions of cubic meters,Dredging,6
2012,9.50818312,9.50818312,NA,NA,Millions of cubic meters,Dredging,6
2013,8.843973029,8.843973029,NA,NA,Millions of cubic meters,Dredging,6
2014,7.76107129,7.76107129,NA,NA,Millions of cubic meters,Dredging,6
2015,5.101823342,5.101823342,NA,NA,Millions of cubic meters,Dredging,6
2016,5.442811751,5.442811751,NA,NA,Millions of cubic meters,Dredging,6
1986,0.011499918,0.011499918,NA,NA,Production (1000s mt),Finfish aquaculture,7
1987,0.19792623,0.19792623,NA,NA,Production (1000s mt),Finfish aquaculture,7
1988,0.924558388,0.924558388,NA,NA,Production (1000s mt),Finfish aquaculture,7
1989,1.514326871,1.514326871,NA,NA,Production (1000s mt),Finfish aquaculture,7
1990,1.197470179,1.197470179,NA,NA,Production (1000s mt),Finfish aquaculture,7
1991,2.066600532,2.066600532,NA,NA,Production (1000s mt),Finfish aquaculture,7
1992,4.238291527,4.238291527,NA,NA,Production (1000s mt),Finfish aquaculture,7
1993,4.253665121,4.253665121,NA,NA,Production (1000s mt),Finfish aquaculture,7
1994,4.835716189,4.835716189,NA,NA,Production (1000s mt),Finfish aquaculture,7
1995,4.867337902,4.867337902,NA,NA,Production (1000s mt),Finfish aquaculture,7
1996,5.490717552,5.490717552,NA,NA,Production (1000s mt),Finfish aquaculture,7
1997,5.804185458,5.804185458,NA,NA,Production (1000s mt),Finfish aquaculture,7
1998,2.612560646,2.612560646,NA,NA,Production (1000s mt),Finfish aquaculture,7
1999,5.532433048,5.532433048,NA,NA,Production (1000s mt),Finfish aquaculture,7
2000,6.049260762,6.049260762,NA,NA,Production (1000s mt),Finfish aquaculture,7
2001,7.572012651,7.572012651,NA,NA,Production (1000s mt),Finfish aquaculture,7
2002,5.935257217,5.935257217,NA,NA,Production (1000s mt),Finfish aquaculture,7
2003,10.30724226,10.30724226,NA,NA,Production (1000s mt),Finfish aquaculture,7
2004,6.642540047,6.642540047,NA,NA,Production (1000s mt),Finfish aquaculture,7
2005,6.110394077,6.110394077,NA,NA,Production (1000s mt),Finfish aquaculture,7
2006,5.810877754,5.810877754,NA,NA,Production (1000s mt),Finfish aquaculture,7
2007,7.116635766,7.116635766,NA,NA,Production (1000s mt),Finfish aquaculture,7
2008,7.699060595,7.699060595,NA,NA,Production (1000s mt),Finfish aquaculture,7
2009,7.923261141,7.923261141,NA,NA,Production (1000s mt),Finfish aquaculture,7
2010,8.407519136,8.407519136,NA,NA,Production (1000s mt),Finfish aquaculture,7
2011,7.467284608,7.467284608,NA,NA,Production (1000s mt),Finfish aquaculture,7
2012,8.695630795,8.695630795,NA,NA,Production (1000s mt),Finfish aquaculture,7
2013,6.833636996,6.833636996,NA,NA,Production (1000s mt),Finfish aquaculture,7
2014,9.24428706,9.24428706,NA,NA,Production (1000s mt),Finfish aquaculture,7
2015,10.43138722,10.43138722,NA,NA,Production (1000s mt),Finfish aquaculture,7
2016,8.01694059,8.01694059,NA,NA,Production (1000s mt),Finfish aquaculture,7
2017,6.717011689,6.717011689,NA,NA,Production (1000s mt),Finfish aquaculture,7
1900,9,9,NA,NA,Millions of cubic meters,Freshwater retention,8
1901,9,9,NA,NA,Millions of cubic meters,Freshwater retention,8
1902,14,14,NA,NA,Millions of cubic meters,Freshwater retention,8
1903,14,14,NA,NA,Millions of cubic meters,Freshwater retention,8
1904,107,107,NA,NA,Millions of cubic meters,Freshwater retention,8
1905,111,111,NA,NA,Millions of cubic meters,Freshwater retention,8
1906,228,228,NA,NA,Millions of cubic meters,Freshwater retention,8
1907,229,229,NA,NA,Millions of cubic meters,Freshwater retention,8
1908,509,509,NA,NA,Millions of cubic meters,Freshwater retention,8
1909,509,509,NA,NA,Millions of cubic meters,Freshwater retention,8
1910,600,600,NA,NA,Millions of cubic meters,Freshwater retention,8
1911,1118,1118,NA,NA,Millions of cubic meters,Freshwater retention,8
1912,1438,1438,NA,NA,Millions of cubic meters,Freshwater retention,8
1913,1448,1448,NA,NA,Millions of cubic meters,Freshwater retention,8
1914,1982,1982,NA,NA,Millions of cubic meters,Freshwater retention,8
1915,2321,2321,NA,NA,Millions of cubic meters,Freshwater retention,8
1916,2894,2894,NA,NA,Millions of cubic meters,Freshwater retention,8
1917,3109,3109,NA,NA,Millions of cubic meters,Freshwater retention,8
1918,3125,3125,NA,NA,Millions of cubic meters,Freshwater retention,8
1919,3334,3334,NA,NA,Millions of cubic meters,Freshwater retention,8
1920,3413,3413,NA,NA,Millions of cubic meters,Freshwater retention,8
1921,4537,4537,NA,NA,Millions of cubic meters,Freshwater retention,8
1922,4545,4545,NA,NA,Millions of cubic meters,Freshwater retention,8
1923,4575,4575,NA,NA,Millions of cubic meters,Freshwater retention,8
1924,4677,4677,NA,NA,Millions of cubic meters,Freshwater retention,8
1925,5245,5245,NA,NA,Millions of cubic meters,Freshwater retention,8
1926,5855,5855,NA,NA,Millions of cubic meters,Freshwater retention,8
1927,8105,8105,NA,NA,Millions of cubic meters,Freshwater retention,8
1928,9417,9417,NA,NA,Millions of cubic meters,Freshwater retention,8
1929,9539,9539,NA,NA,Millions of cubic meters,Freshwater retention,8
1930,9650,9650,NA,NA,Millions of cubic meters,Freshwater retention,8
1931,10444,10444,NA,NA,Millions of cubic meters,Freshwater retention,8
1932,11842,11842,NA,NA,Millions of cubic meters,Freshwater retention,8
1933,12889,12889,NA,NA,Millions of cubic meters,Freshwater retention,8
1934,12890,12890,NA,NA,Millions of cubic meters,Freshwater retention,8
1935,12970,12970,NA,NA,Millions of cubic meters,Freshwater retention,8
1936,12987,12987,NA,NA,Millions of cubic meters,Freshwater retention,8
1937,13744,13744,NA,NA,Millions of cubic meters,Freshwater retention,8
1938,13780,13780,NA,NA,Millions of cubic meters,Freshwater retention,8
1939,13993,13993,NA,NA,Millions of cubic meters,Freshwater retention,8
1940,14091,14091,NA,NA,Millions of cubic meters,Freshwater retention,8
1941,14091,14091,NA,NA,Millions of cubic meters,Freshwater retention,8
1942,25896,25896,NA,NA,Millions of cubic meters,Freshwater retention,8
1943,25896,25896,NA,NA,Millions of cubic meters,Freshwater retention,8
1944,25897,25897,NA,NA,Millions of cubic meters,Freshwater retention,8
1945,26201,26201,NA,NA,Millions of cubic meters,Freshwater retention,8
1946,27307,27307,NA,NA,Millions of cubic meters,Freshwater retention,8
1947,27307,27307,NA,NA,Millions of cubic meters,Freshwater retention,8
1948,28453,28453,NA,NA,Millions of cubic meters,Freshwater retention,8
1949,32769,32769,NA,NA,Millions of cubic meters,Freshwater retention,8
1950,33383,33383,NA,NA,Millions of cubic meters,Freshwater retention,8
1951,35963,35963,NA,NA,Millions of cubic meters,Freshwater retention,8
1952,38815,38815,NA,NA,Millions of cubic meters,Freshwater retention,8
1953,41271,41271,NA,NA,Millions of cubic meters,Freshwater retention,8
1954,46887,46887,NA,NA,Millions of cubic meters,Freshwater retention,8
1955,48453,48453,NA,NA,Millions of cubic meters,Freshwater retention,8
1956,53090,53090,NA,NA,Millions of cubic meters,Freshwater retention,8
1957,57416,57416,NA,NA,Millions of cubic meters,Freshwater retention,8
1958,59196,59196,NA,NA,Millions of cubic meters,Freshwater retention,8
1959,93077,93077,NA,NA,Millions of cubic meters,Freshwater retention,8
1960,93809,93809,NA,NA,Millions of cubic meters,Freshwater retention,8
1961,95277,95277,NA,NA,Millions of cubic meters,Freshwater retention,8
1962,97193,97193,NA,NA,Millions of cubic meters,Freshwater retention,8
1963,101186,101186,NA,NA,Millions of cubic meters,Freshwater retention,8
1964,105394,105394,NA,NA,Millions of cubic meters,Freshwater retention,8
1965,107403,107403,NA,NA,Millions of cubic meters,Freshwater retention,8
1966,108489,108489,NA,NA,Millions of cubic meters,Freshwater retention,8
1967,112218,112218,NA,NA,Millions of cubic meters,Freshwater retention,8
1968,118429,118429,NA,NA,Millions of cubic meters,Freshwater retention,8
1969,123404,123404,NA,NA,Millions of cubic meters,Freshwater retention,8
1970,130893,130893,NA,NA,Millions of cubic meters,Freshwater retention,8
1971,131359,131359,NA,NA,Millions of cubic meters,Freshwater retention,8
1972,131371,131371,NA,NA,Millions of cubic meters,Freshwater retention,8
1973,131553,131553,NA,NA,Millions of cubic meters,Freshwater retention,8
1974,164150,164150,NA,NA,Millions of cubic meters,Freshwater retention,8
1975,165461,165461,NA,NA,Millions of cubic meters,Freshwater retention,8
1976,165478,165478,NA,NA,Millions of cubic meters,Freshwater retention,8
1977,165643,165643,NA,NA,Millions of cubic meters,Freshwater retention,8
1978,165976,165976,NA,NA,Millions of cubic meters,Freshwater retention,8
1979,166498,166498,NA,NA,Millions of cubic meters,Freshwater retention,8
1980,166653,166653,NA,NA,Millions of cubic meters,Freshwater retention,8
1981,166729,166729,NA,NA,Millions of cubic meters,Freshwater retention,8
1982,166821,166821,NA,NA,Millions of cubic meters,Freshwater retention,8
1983,169849,169849,NA,NA,Millions of cubic meters,Freshwater retention,8
1984,169851,169851,NA,NA,Millions of cubic meters,Freshwater retention,8
1985,169882,169882,NA,NA,Millions of cubic meters,Freshwater retention,8
1986,169973,169973,NA,NA,Millions of cubic meters,Freshwater retention,8
1987,170468,170468,NA,NA,Millions of cubic meters,Freshwater retention,8
1988,170644,170644,NA,NA,Millions of cubic meters,Freshwater retention,8
1989,170673,170673,NA,NA,Millions of cubic meters,Freshwater retention,8
1990,171497,171497,NA,NA,Millions of cubic meters,Freshwater retention,8
1991,171499,171499,NA,NA,Millions of cubic meters,Freshwater retention,8
1992,171524,171524,NA,NA,Millions of cubic meters,Freshwater retention,8
1993,171544,171544,NA,NA,Millions of cubic meters,Freshwater retention,8
1994,171566,171566,NA,NA,Millions of cubic meters,Freshwater retention,8
1995,171568,171568,NA,NA,Millions of cubic meters,Freshwater retention,8
1996,171571,171571,NA,NA,Millions of cubic meters,Freshwater retention,8
1997,171573,171573,NA,NA,Millions of cubic meters,Freshwater retention,8
1998,171573,171573,NA,NA,Millions of cubic meters,Freshwater retention,8
1999,172689,172689,NA,NA,Millions of cubic meters,Freshwater retention,8
2000,172869,172869,NA,NA,Millions of cubic meters,Freshwater retention,8
2001,172870,172870,NA,NA,Millions of cubic meters,Freshwater retention,8
2002,172870,172870,NA,NA,Millions of cubic meters,Freshwater retention,8
2003,172870,172870,NA,NA,Millions of cubic meters,Freshwater retention,8
2004,172871,172871,NA,NA,Millions of cubic meters,Freshwater retention,8
2005,172871,172871,NA,NA,Millions of cubic meters,Freshwater retention,8
2006,172871,172871,NA,NA,Millions of cubic meters,Freshwater retention,8
2007,172929,172929,NA,NA,Millions of cubic meters,Freshwater retention,8
2008,172930,172930,NA,NA,Millions of cubic meters,Freshwater retention,8
2009,172931,172931,NA,NA,Millions of cubic meters,Freshwater retention,8
2010,172931,172931,NA,NA,Millions of cubic meters,Freshwater retention,8
2011,172931,172931,NA,NA,Millions of cubic meters,Freshwater retention,8
2012,172921,172921,NA,NA,Millions of cubic meters,Freshwater retention,8
2013,172921,172921,NA,NA,Millions of cubic meters,Freshwater retention,8
2014,172872,172872,NA,NA,Millions of cubic meters,Freshwater retention,8
1988,0.380145056,0.380145056,NA,NA,Normalized index,Inorganic pollution,9
1989,-0.255814798,-0.255814798,NA,NA,Normalized index,Inorganic pollution,9
1990,0.143325373,0.143325373,NA,NA,Normalized index,Inorganic pollution,9
1991,-0.183150025,-0.183150025,NA,NA,Normalized index,Inorganic pollution,9
1992,-0.24442919,-0.24442919,NA,NA,Normalized index,Inorganic pollution,9
1993,-1.213091383,-1.213091383,NA,NA,Normalized index,Inorganic pollution,9
1994,-1.561818378,-1.561818378,NA,NA,Normalized index,Inorganic pollution,9
1995,-0.021818257,-0.021818257,NA,NA,Normalized index,Inorganic pollution,9
1996,1.03449077,1.03449077,NA,NA,Normalized index,Inorganic pollution,9
1997,1.922160832,1.922160832,NA,NA,Normalized index,Inorganic pollution,9
1998,0.30090716,0.30090716,NA,NA,Normalized index,Inorganic pollution,9
1999,-0.042874743,-0.042874743,NA,NA,Normalized index,Inorganic pollution,9
2000,1.415933842,1.415933842,NA,NA,Normalized index,Inorganic pollution,9
2001,-1.250267504,-1.250267504,NA,NA,Normalized index,Inorganic pollution,9
2002,-2.497068854,-2.497068854,NA,NA,Normalized index,Inorganic pollution,9
2003,-0.723910938,-0.723910938,NA,NA,Normalized index,Inorganic pollution,9
2004,0.228094191,0.228094191,NA,NA,Normalized index,Inorganic pollution,9
2005,0.46059089,0.46059089,NA,NA,Normalized index,Inorganic pollution,9
2006,0.185142639,0.185142639,NA,NA,Normalized index,Inorganic pollution,9
2007,1.16928623,1.16928623,NA,NA,Normalized index,Inorganic pollution,9
2008,0.910503133,0.910503133,NA,NA,Normalized index,Inorganic pollution,9
2009,-0.02439286,-0.02439286,NA,NA,Normalized index,Inorganic pollution,9
2010,0.964730789,0.964730789,NA,NA,Normalized index,Inorganic pollution,9
2011,0.823857024,0.823857024,NA,NA,Normalized index,Inorganic pollution,9
2012,-0.268794306,-0.268794306,NA,NA,Normalized index,Inorganic pollution,9
2013,-0.686090044,-0.686090044,NA,NA,Normalized index,Inorganic pollution,9
2014,-0.96564665,-0.96564665,NA,NA,Normalized index,Inorganic pollution,9
1993,638.6662216,638.6662216,NA,NA,Cargo volume (millions mt),Invasive species,10
1994,628.6817464,628.6817464,NA,NA,Cargo volume (millions mt),Invasive species,10
1995,654.6698676,654.6698676,NA,NA,Cargo volume (millions mt),Invasive species,10
1996,622.4430369,622.4430369,NA,NA,Cargo volume (millions mt),Invasive species,10
1997,588.6377048,588.6377048,NA,NA,Cargo volume (millions mt),Invasive species,10
1998,553.7600803,553.7600803,NA,NA,Cargo volume (millions mt),Invasive species,10
1999,569.6240198,569.6240198,NA,NA,Cargo volume (millions mt),Invasive species,10
2000,604.9978744,604.9978744,NA,NA,Cargo volume (millions mt),Invasive species,10
2001,586.7208234,586.7208234,NA,NA,Cargo volume (millions mt),Invasive species,10
2002,568.2124403,568.2124403,NA,NA,Cargo volume (millions mt),Invasive species,10
2003,587.8711337,587.8711337,NA,NA,Cargo volume (millions mt),Invasive species,10
2004,644.9457544,644.9457544,NA,NA,Cargo volume (millions mt),Invasive species,10
2005,658.3947682,658.3947682,NA,NA,Cargo volume (millions mt),Invasive species,10
2006,689.2880373,689.2880373,NA,NA,Cargo volume (millions mt),Invasive species,10
2007,698.213828,698.213828,NA,NA,Cargo volume (millions mt),Invasive species,10
2008,664.5345945,664.5345945,NA,NA,Cargo volume (millions mt),Invasive species,10
2009,591.5434175,591.5434175,NA,NA,Cargo volume (millions mt),Invasive species,10
2010,626.3439313,626.3439313,NA,NA,Cargo volume (millions mt),Invasive species,10
2011,651.0202634,651.0202634,NA,NA,Cargo volume (millions mt),Invasive species,10
2012,662.5451383,662.5451383,NA,NA,Cargo volume (millions mt),Invasive species,10
2013,670.9,670.9,NA,NA,Cargo volume (millions mt),Invasive species,10
