year,data,metric,timeseries
2006,3.972276336,ln abundance,Southern.mesopelagics
2005,3.888079079,ln abundance,Southern.mesopelagics
2004,3.523759041,ln abundance,Southern.mesopelagics
2003,5.424080637,ln abundance,Southern.mesopelagics
2002,3.797980813,ln abundance,Southern.mesopelagics
2001,3.130518086,ln abundance,Southern.mesopelagics
2000,3.026312903,ln abundance,Southern.mesopelagics
1999,3.635858282,ln abundance,Southern.mesopelagics
1998,10.44105173,ln abundance,Southern.mesopelagics
2020,0.877500161,ln abundance,Leuroglossus stilbius
2019,2.064668362,ln abundance,Leuroglossus stilbius
2018,2.034435689,ln abundance,Leuroglossus stilbius
2017,NA,ln abundance,Leuroglossus stilbius
2016,1.629757794,ln abundance,Leuroglossus stilbius
2015,0.990914316,ln abundance,Leuroglossus stilbius
2014,1.416370148,ln abundance,Leuroglossus stilbius
2013,1.877236582,ln abundance,Leuroglossus stilbius
2012,1.840338455,ln abundance,Leuroglossus stilbius
2011,1.569610015,ln abundance,Leuroglossus stilbius
2010,0.398780122,ln abundance,Leuroglossus stilbius
2009,0.329450133,ln abundance,Leuroglossus stilbius
2008,0.762255969,ln abundance,Leuroglossus stilbius
2007,1.338231249,ln abundance,Leuroglossus stilbius
2006,1.832545729,ln abundance,Leuroglossus stilbius
2005,0.492317895,ln abundance,Leuroglossus stilbius
2004,0.688401786,ln abundance,Leuroglossus stilbius
2003,1.042395659,ln abundance,Leuroglossus stilbius
2002,2.09026226,ln abundance,Leuroglossus stilbius
2001,1.171749584,ln abundance,Leuroglossus stilbius
2000,1.200128044,ln abundance,Leuroglossus stilbius
1999,1.857272626,ln abundance,Leuroglossus stilbius
1998,0.914291279,ln abundance,Leuroglossus stilbius
2020,0.700218053,ln abundance,Lipolagus ochotensis
2019,1.549878023,ln abundance,Lipolagus ochotensis
2018,1.709892232,ln abundance,Lipolagus ochotensis
2017,NA,ln abundance,Lipolagus ochotensis
2016,1.633914533,ln abundance,Lipolagus ochotensis
2015,1.117120671,ln abundance,Lipolagus ochotensis
2014,1.24659782,ln abundance,Lipolagus ochotensis
2013,2.075216747,ln abundance,Lipolagus ochotensis
2012,2.439751056,ln abundance,Lipolagus ochotensis
2011,2.496378682,ln abundance,Lipolagus ochotensis
2010,0.351232274,ln abundance,Lipolagus ochotensis
2009,0.261624055,ln abundance,Lipolagus ochotensis
2008,0.293983834,ln abundance,Lipolagus ochotensis
2007,0.470576905,ln abundance,Lipolagus ochotensis
2006,1.085673872,ln abundance,Lipolagus ochotensis
2005,0.620723865,ln abundance,Lipolagus ochotensis
2004,0.826795555,ln abundance,Lipolagus ochotensis
2003,0.744901281,ln abundance,Lipolagus ochotensis
2002,2.156147476,ln abundance,Lipolagus ochotensis
2001,0.690683131,ln abundance,Lipolagus ochotensis
2000,0.777011792,ln abundance,Lipolagus ochotensis
1999,1.123840941,ln abundance,Lipolagus ochotensis
1998,1.078052017,ln abundance,Lipolagus ochotensis
2020,0.367515476,ln abundance,Sciaenidae
2019,0.43224557,ln abundance,Sciaenidae
2018,0.13431655,ln abundance,Sciaenidae
2017,NA,ln abundance,Sciaenidae
2016,0.062899601,ln abundance,Sciaenidae
2015,0.362598808,ln abundance,Sciaenidae
2014,0,ln abundance,Sciaenidae
2013,0.669734917,ln abundance,Sciaenidae
2012,0.445392239,ln abundance,Sciaenidae
2011,0.297046522,ln abundance,Sciaenidae
2010,0.087633604,ln abundance,Sciaenidae
2009,0,ln abundance,Sciaenidae
2008,0,ln abundance,Sciaenidae
2007,0.117489628,ln abundance,Sciaenidae
2006,0.081949836,ln abundance,Sciaenidae
2005,0.153281614,ln abundance,Sciaenidae
2004,0,ln abundance,Sciaenidae
2003,0,ln abundance,Sciaenidae
2002,0,ln abundance,Sciaenidae
2001,0.342771142,ln abundance,Sciaenidae
2000,0.160943791,ln abundance,Sciaenidae
1999,0,ln abundance,Sciaenidae
1998,0,ln abundance,Sciaenidae
