year,data,U SE,L SE,metric,timeseries,order
2017,0.48,0.55,0.41,% auklet chick diet,Rockfish juveniles,2
2018,0.03,0.05,0.01,% auklet chick diet,Rockfish juveniles,2
2019,0,0,0,% auklet chick diet,Rockfish juveniles,2
2020,0,0,0,% auklet chick diet,Rockfish juveniles,2
1993,0,0,0,% auklet chick diet,Market squid,3
1994,0.1,0.16,0.04,% auklet chick diet,Market squid,3
1995,0,0,0,% auklet chick diet,Market squid,3
1996,0.15,0.21,0.08,% auklet chick diet,Market squid,3
1997,0.29,0.39,0.18,% auklet chick diet,Market squid,3
1998,0.02,0.04,0,% auklet chick diet,Market squid,3
1999,0,0,0,% auklet chick diet,Market squid,3
2000,0.08,0.12,0.04,% auklet chick diet,Market squid,3
2001,0.04,0.07,0.02,% auklet chick diet,Market squid,3
2002,0.01,0.01,0,% auklet chick diet,Market squid,3
2003,0.06,0.11,0.02,% auklet chick diet,Market squid,3
2004,0.02,0.04,0,% auklet chick diet,Market squid,3
2005,0,0,0,% auklet chick diet,Market squid,3
2006,0,0,0,% auklet chick diet,Market squid,3
2007,0,0,0,% auklet chick diet,Market squid,3
2008,0.06,0.11,0.02,% auklet chick diet,Market squid,3
2009,0.28,0.34,0.22,% auklet chick diet,Market squid,3
2010,0.02,0.03,0.01,% auklet chick diet,Market squid,3
2011,0.4,0.49,0.31,% auklet chick diet,Market squid,3
2012,0.28,0.35,0.21,% auklet chick diet,Market squid,3
2013,0,0,0,% auklet chick diet,Market squid,3
2014,0.03,0.05,0.01,% auklet chick diet,Market squid,3
2015,0,0,0,% auklet chick diet,Market squid,3
2016,0,0,0,% auklet chick diet,Market squid,3
2017,0.11,0.15,0.07,% auklet chick diet,Market squid,3
2018,0.02,0.04,0,% auklet chick diet,Market squid,3
2019,0.03,0.05,0.01,% auklet chick diet,Market squid,3
2020,0,0,0,% auklet chick diet,Market squid,3
1993,0,0,0,% auklet chick diet,Pacific saury,4
1994,0.15,0.22,0.08,% auklet chick diet,Pacific saury,4
1995,0,0,0,% auklet chick diet,Pacific saury,4
1996,0.08,0.12,0.03,% auklet chick diet,Pacific saury,4
1997,0.22,0.32,0.12,% auklet chick diet,Pacific saury,4
1998,0.54,0.64,0.44,% auklet chick diet,Pacific saury,4
1999,0.03,0.05,0,% auklet chick diet,Pacific saury,4
2000,0.07,0.11,0.03,% auklet chick diet,Pacific saury,4
2001,0.24,0.31,0.18,% auklet chick diet,Pacific saury,4
2002,0.14,0.19,0.09,% auklet chick diet,Pacific saury,4
2003,0.36,0.45,0.26,% auklet chick diet,Pacific saury,4
2004,0.04,0.08,0,% auklet chick diet,Pacific saury,4
2005,0.18,0.25,0.11,% auklet chick diet,Pacific saury,4
2006,0,0,0,% auklet chick diet,Pacific saury,4
2007,0,0,0,% auklet chick diet,Pacific saury,4
2008,0.03,0.06,0,% auklet chick diet,Pacific saury,4
2009,0.12,0.16,0.08,% auklet chick diet,Pacific saury,4
2010,0.19,0.24,0.14,% auklet chick diet,Pacific saury,4
2011,0.04,0.08,0,% auklet chick diet,Pacific saury,4
2012,0.43,0.52,0.34,% auklet chick diet,Pacific saury,4
2013,0,0,0,% auklet chick diet,Pacific saury,4
2014,0,0,0,% auklet chick diet,Pacific saury,4
2015,0,0,0,% auklet chick diet,Pacific saury,4
2016,0,0,0,% auklet chick diet,Pacific saury,4
2017,0,0,0,% auklet chick diet,Pacific saury,4
2018,0,0,0,% auklet chick diet,Pacific saury,4
2019,0,0,0,% auklet chick diet,Pacific saury,4
2020,0,0,0,% auklet chick diet,Pacific saury,4
