timeseries_id,dataset_id,institution
cciea_AC_MSQ_REV,cciea_AC,NOAA NWFSC
cciea_AC_MSQ_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_MSQ_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_MSQCA,cciea_AC,NOAA NWFSC
cciea_AC_MSQOR,cciea_AC,NOAA NWFSC
cciea_AC_NINPUT_FAPP,cciea_AC,NOAA NWFSC
cciea_AC_OGACTI_OGPROD,cciea_AC,NOAA NWFSC
cciea_AC_OTHER_REV,cciea_AC,NOAA NWFSC
cciea_AC_OTHER_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_OTHER_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_OTHER_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_OTHER_SP,cciea_AC,NOAA NWFSC
cciea_AC_OTHER_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_OTHER_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_OTHER_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_PHAKE_REV,cciea_AC,NOAA NWFSC
cciea_AC_PHAKE_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_PHAKE_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_PHAKE_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_PHAKE_SP,cciea_AC,NOAA NWFSC
cciea_AC_PHAKE_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_PHAKE_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_PHAKE_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_REC_SLMN_SP,cciea_AC,NOAA NWFSC
cciea_AC_REC_SLMN_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_REC_SLMN_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_REC_SLMN_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_RECREAT_SP,cciea_AC,NOAA NWFSC
cciea_AC_RECREAT_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_RECREAT_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_RECREAT_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_SDEMAND_CFISH,cciea_AC,NOAA NWFSC
cciea_AC_SDEMAND_PCAP,cciea_AC,NOAA NWFSC
cciea_AC_SHRMP_REV,cciea_AC,NOAA NWFSC
cciea_AC_SHRMP_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_SHRMP_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_SHRMP_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_SHRMP_SP,cciea_AC,NOAA NWFSC
cciea_AC_SHRMP_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_SHRMP_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_SHRMP_SPWA,cciea_AC,NOAA NWFSC
cciea_AC_SLMN_REV,cciea_AC,NOAA NWFSC
cciea_AC_SLMN_REVCA,cciea_AC,NOAA NWFSC
cciea_AC_SLMN_REVOR,cciea_AC,NOAA NWFSC
cciea_AC_SLMN_REVWA,cciea_AC,NOAA NWFSC
cciea_AC_TOTAL_SP,cciea_AC,NOAA NWFSC
cciea_AC_TOTAL_SPCA,cciea_AC,NOAA NWFSC
cciea_AC_TOTAL_SPOR,cciea_AC,NOAA NWFSC
cciea_AC_TOTAL_SPWA,cciea_AC,NOAA NWFSC
cciea_B_D_ABC_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_ACM_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_ARA_C_A,cciea_B_AS_DIET,Oikonos/Point Blue Conservation Science
cciea_B_D_ARA_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_ARA_N,cciea_B_AS_DIET,NOAA NWFSC
cciea_B_D_FCM_N,cciea_B_AS_DIET,OSU Seabird Oceanography Lab
cciea_B_D_HCM_N,cciea_B_AS_DIET,OSU Seabird Oceanography Lab
cciea_B_D_HRA_N,cciea_B_AS_DIET,NOAA NWFSC
cciea_B_D_LCM_N,cciea_B_AS_DIET,OSU Seabird Oceanography Lab
cciea_B_D_PCA_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_QRA_C_A,cciea_B_AS_DIET,Oikonos/Point Blue Conservation Science
cciea_B_D_RBC_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_RCM_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_RCM_N,cciea_B_AS_DIET,OSU Seabird Oceanography Lab
cciea_B_D_RPG_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_RRA_C_A,cciea_B_AS_DIET,Oikonos/Point Blue Conservation Science
cciea_B_D_RRA_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_RRA_N,cciea_B_AS_DIET,NOAA NWFSC
cciea_B_D_SCA_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_SCM_C_S,cciea_B_AS_DIET,Point Blue Conservation Science
cciea_B_D_SCM_N,cciea_B_AS_DIET,OSU Seabird Oceanography Lab
cciea_B_D_SRA_C_A,cciea_B_AS_DIET,Oikonos/Point Blue Conservation Science
cciea_B_D_SRA_N,cciea_B_AS_DIET,NOAA NWFSC
cciea_B_DA_CA_C,cciea_B_AS_DENS,Farallon Institute
cciea_B_DA_CA_N,cciea_B_AS_DENS,NOAA NWFSC
cciea_B_DA_CA_S,cciea_B_AS_DENS,Farallon Institute
cciea_B_DA_CM_C,cciea_B_AS_DENS,Farallon Institute
cciea_B_DA_CM_N,cciea_B_AS_DENS,NOAA NWFSC
cciea_B_DA_CM_S,cciea_B_AS_DENS,Farallon Institute
cciea_B_DA_SS_C,cciea_B_AS_DENS,Farallon Institute
cciea_B_DA_SS_N,cciea_B_AS_DENS,NOAA NWFSC
cciea_B_DA_SS_S,cciea_B_AS_DENS,Farallon Institute
cciea_B_L_ARA,cciea_B_LEN,Oikonos Ecosystem Knowledge
cciea_B_M_BC_C,cciea_B_B_MORT,BeachWatch
cciea_B_M_BC_CS_C,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_BC_CS_N,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_BC_CS_S,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_CA_C,cciea_B_B_MORT,BeachWatch
cciea_B_M_CA_CS_C,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_CA_CS_N,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_CA_CS_S,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_CA_N,cciea_B_B_MORT,COASST
cciea_B_M_CM_C,cciea_B_B_MORT,BeachWatch
cciea_B_M_CM_CS_C,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_CM_CS_N,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_CM_CS_S,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_CM_N,cciea_B_B_MORT,COASST
cciea_B_M_NF_C,cciea_B_B_MORT,BeachWatch
cciea_B_M_NF_CS_C,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_NF_CS_N,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_NF_CS_S,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_NF_N,cciea_B_B_MORT,COASST
cciea_B_M_SS_C,cciea_B_B_MORT,BeachWatch
cciea_B_M_SS_CS_C,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_SS_CS_N,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_SS_CS_S,cciea_B_B_MORT,BeachCOMBERS
cciea_B_M_SS_N,cciea_B_B_MORT,COASST
cciea_B_P_BC_C,cciea_B_PR_ANOM,Point Blue Conservation Science
cciea_B_P_BC_N,cciea_B_PR_ANOM,OSU Seabird Oceanography Lab
cciea_B_P_CA_C,cciea_B_PR_ANOM,Point Blue Conservation Science
cciea_B_P_CM_C,cciea_B_PR_ANOM,Point Blue Conservation Science
cciea_B_P_CM_N,cciea_B_PR_ANOM,OSU Seabird Oceanography Lab
cciea_B_P_PC_N,cciea_B_PR_ANOM,OSU Seabird Oceanography Lab
cciea_B_P_PG_C,cciea_B_PR_ANOM,Point Blue Conservation Science
cciea_B_P_RA_C,cciea_B_PR_ANOM,Point Blue Conservation Science
cciea_EI_AEQ_A_OW,cciea_EI_FBN,NOAA NWFSC
cciea_EI_ANCHO_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_ANCHO_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_AUR_A_CC,cciea_EI_FBC,NOAA SWFSC
cciea_EI_CHRY_A_CC,cciea_EI_FBC,NOAA SWFSC
cciea_EI_CHRY_A_OW,cciea_EI_FBN,NOAA NWFSC
cciea_EI_COOL_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_COP_CBAN,cciea_EI_COP,NOAA NWFSC
cciea_EI_COP_CBAS,cciea_EI_COP,NOAA NWFSC
cciea_EI_COP_SPRA,cciea_EI_COP,NOAA NWFSC
cciea_EI_CROK_SC,cciea_EI_FBS,NOAA SWFSC
cciea_EI_DA_CCA,cciea_EI_DOMACID_MON_clam,California Department of Public Health
cciea_EI_DA_CCA_crab,cciea_EI_DOMACID_MON_crab,California Department of Public Health
cciea_EI_DA_COP,cciea_EI_DOMACID_MON,Washington State Department of Health
cciea_EI_DA_KAL,cciea_EI_DOMACID_MON,Washington State Department of Health
cciea_EI_DA_LON,cciea_EI_DOMACID_MON,Washington State Department of Health
cciea_EI_DA_MOC,cciea_EI_DOMACID_MON,Washington State Department of Health
cciea_EI_DA_NCA,cciea_EI_DOMACID_MON_clam,California Department of Public Health
cciea_EI_DA_NCA_crab,cciea_EI_DOMACID_MON_crab,California Department of Public Health
cciea_EI_DA_ORC,cciea_EI_DOMACID_MON_clam,Oregon Department of Fish and Wildlife
cciea_EI_DA_ORC_crab,cciea_EI_DOMACID_MON_crab,Oregon Department of Fish and Wildlife
cciea_EI_DA_QUA,cciea_EI_DOMACID_MON,Washington State Department of Health
cciea_EI_DA_SND,cciea_EI_DOMACID_MON,Washington State Department of Health
cciea_EI_DA_TH,cciea_EI_DOMACID_MON,Washington State Department of Health
cciea_EI_DA_WAC,cciea_EI_DOMACID_MON_clam,Washington State Department of Health
cciea_EI_DA_WAC_crab,cciea_EI_DOMACID_MON_crab,Washington State Department of Health
cciea_EI_DA_WIL,cciea_EI_DOMACID_MON,Washington State Department of Health
cciea_EI_EBLK_SC,cciea_EI_FBS,NOAA SWFSC
cciea_EI_EGGYK,cciea_EI_FBN,NOAA NWFSC
cciea_EI_GF_MTL_CW,cciea_EI_MTL,NOAA NWFSC
cciea_EI_GF_MTL_N,cciea_EI_MTL,NOAA NWFSC
cciea_EI_GF_MTL_S,cciea_EI_MTL,NOAA NWFSC
cciea_EI_GF_SIMP_CW,cciea_EI_SIMP,NOAA NWFSC
cciea_EI_GF_SIMP_N,cciea_EI_SIMP,NOAA NWFSC
cciea_EI_GF_SIMP_S,cciea_EI_SIMP,NOAA NWFSC
cciea_EI_GF_SPR_CW,cciea_EI_SP_RICH,NOAA NWFSC
cciea_EI_GF_SPR_N,cciea_EI_SP_RICH,NOAA NWFSC
cciea_EI_GF_SPR_S,cciea_EI_SP_RICH,NOAA NWFSC
cciea_EI_HCI,cciea_EI_HCI,NOAA SWFSC/FED
cciea_EI_JCHUM_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_JMACK_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_JMACK_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_KRILL_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_KRILLEN,cciea_EI_KRILLEN,NOAA SWFSC; Humboldt State University
cciea_EI_LAMP_SC,cciea_EI_FBS,NOAA SWFSC
cciea_EI_MOONJ_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_MSQUI_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_MSQUI_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_MSQUI_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_MYCT_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_OCT_CC,cciea_EI_FBC,NOAA SWFSC
cciea_EI_PHAKE_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_PHAKE_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_POMP_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_PSAND_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_PYRO_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_ROCKF_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_SAND_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_SARDI_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_SARDI_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_SCAV_CRAB_CW,cciea_EI_CRAB_FINF,NOAA NWFSC
cciea_EI_SCAV_CRAB_N,cciea_EI_CRAB_FINF,NOAA NWFSC
cciea_EI_SCAV_CRAB_S,cciea_EI_CRAB_FINF,NOAA NWFSC
cciea_EI_SCAV_RAT_CW,cciea_EI_SCAV_RAT,NOAA NWFSC
cciea_EI_SCAV_RAT_N,cciea_EI_SCAV_RAT,NOAA NWFSC
cciea_EI_SCAV_RAT_S,cciea_EI_SCAV_RAT,NOAA NWFSC
cciea_EI_SHBRF_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_SMOT_SC,cciea_EI_FBS,NOAA SWFSC
cciea_EI_SYCHK_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_WARM_SC,cciea_EI_FBS_2020,NOAA SWFSC
cciea_EI_WH_ENT_BLU,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_FIN,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_GRY,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_HBK,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_KIL,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_MKE,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_SPM,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_TOT,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_UOT,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_WH_ENT_UWH,cciea_EI_WH_ENT,NOAA SWFSC
cciea_EI_YANCH_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_YCHK_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_YCOHO_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_YROCK_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_YSABL_NC,cciea_EI_FBN,NOAA NWFSC
cciea_EI_YSARD_CC,cciea_EI_FBC_2020,NOAA SWFSC
cciea_EI_YSOCK_NC,cciea_EI_FBN,NOAA NWFSC
cciea_GF_ARRO_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_ARRO_TS,cciea_GF_ABND,NOAA NWFSC
cciea_GF_AURO_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_BGIL_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_BLAC_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_BLCC_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_BLCO_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_BLCW_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_BOCA_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_CABC_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_CABO_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_CABS_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_CANA_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_CHIL_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_CHRC_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_CHRO_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_CHRW_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_COWC_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_DARK_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_DOVE_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_ENGL_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_ENGL_TS,cciea_GF_ABND,NOAA NWFSC
cciea_GF_FLAT_TS,cciea_GF_ABND,NOAA NWFSC
cciea_GF_GSPO_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_GSTR_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_KLPG_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_LING_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_LONG_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_LONG_TS,cciea_GF_ABND,NOAA NWFSC
cciea_GF_LSPI_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_PETR_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_PHAK_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_PPER_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_PSAN_TS,cciea_GF_ABND,NOAA NWFSC
cciea_GF_REXS_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_ROUG_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_SABL_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_SBEL_TS,cciea_GF_ABND,NOAA NWFSC
cciea_GF_SDOG_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_SHAR_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_SPLI_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_SRAT_TS,cciea_GF_ABND,NOAA NWFSC
cciea_GF_SSPI_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_STRI_TS,cciea_GF_ABND,NOAA NWFSC
cciea_GF_WIDO_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_YEYE_SA,cciea_GF_STAT,NOAA NWFSC
cciea_GF_YTAI_SA,cciea_GF_STAT,NOAA NWFSC
cciea_HB_AUGMX_CG,cciea_HB_AUGMX,NOAA NWFSC
cciea_HB_AUGMX_CU,cciea_HB_AUGMX,NOAA NWFSC
cciea_HB_AUGMX_ORNC,cciea_HB_AUGMX,NOAA NWFSC
cciea_HB_AUGMX_SAC,cciea_HB_AUGMX,NOAA NWFSC
cciea_HB_AUGMX_SS,cciea_HB_AUGMX,NOAA NWFSC
cciea_HB_FLO1_CCE,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_CU,cciea_HB_FLO1,NOAA NWFSC
cciea_HB_FLO1_CVF,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_CVS,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_GC,cciea_HB_FLO1,NOAA NWFSC
cciea_HB_FLO1_LCR,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_MCS,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_OC,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_ORNC,cciea_HB_FLO1,NOAA NWFSC
cciea_HB_FLO1_PS,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_SAC,cciea_HB_FLO1,NOAA NWFSC
cciea_HB_FLO1_SCA,cciea_HB_FLO1,NOAA NWFSC
cciea_HB_FLO1_SF,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_SONC,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_SS,cciea_HB_FLO1,NOAA NWFSC
cciea_HB_FLO1_SSS,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_SW,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_UCS,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_UCSF,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_UKT,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_UW,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO1_WC,cciea_HB_FLO1_CH,NOAA NWFSC
cciea_HB_FLO7_CC,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_CG,cciea_HB_FLO7,NOAA NWFSC
cciea_HB_FLO7_CU,cciea_HB_FLO7,NOAA NWFSC
cciea_HB_FLO7_CVF,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_CVS,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_LCR,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_MCS,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_OC,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_ORNC,cciea_HB_FLO7,NOAA NWFSC
cciea_HB_FLO7_PS,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_SAC,cciea_HB_FLO7,NOAA NWFSC
cciea_HB_FLO7_SCA,cciea_HB_FLO7,NOAA NWFSC
cciea_HB_FLO7_SF,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_SONC,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_SS,cciea_HB_FLO7,NOAA NWFSC
cciea_HB_FLO7_SSS,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_SW,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_UCS,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_UCSF,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_UKT,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_UW,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_FLO7_WC,cciea_HB_FLO7_CH,NOAA NWFSC
cciea_HB_SWE_CG,cciea_HB_SWE,NOAA NWFSC
cciea_HB_SWE_CU,cciea_HB_SWE,NOAA NWFSC
cciea_HB_SWE_ORNC,cciea_HB_SWE,NOAA NWFSC
cciea_HB_SWE_SAC,cciea_HB_SWE,NOAA NWFSC
cciea_HB_SWE_SS,cciea_HB_SWE,NOAA NWFSC
cciea_HD_ESI_VESS_100,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_1981_2019_5,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_1981_5,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_2019_5,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_2019_5_100,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_2019_5_125,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_2019_5_25,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_2019_5_41,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_2019_5_5,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_2019_5_80,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_25_100,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_5,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_5_125,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_5_25,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_5_41,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_5_80,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_AST,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_BLL,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
cciea_HD_ESI_VESS_BRG,cciea_HD_ESI_VESS,NOAA NWFSC/AFSC
