year,index,sd.w,n,SDup,SDlo,se,SEup,SElo,CLup,CLlo,timeseries,metric
1987, 1.43 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1988, 1.44 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1989, 1.44 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1990, 1.40 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1991, 1.39 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1992, 1.44 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1993, 1.39 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1994, 1.40 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1995, 1.41 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1996, 1.36 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1997, 1.42 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1998, 1.39 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1999, 1.36 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2000, 1.37 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2001, 1.39 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2002, 1.34 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2003, 1.34 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2004, 1.36 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2005, 1.36 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2006, 1.38 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2007, 1.39 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2008, 1.37 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2009, 1.35 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2010, 1.36 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2011, 1.39 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2012, 1.39 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2013, 1.35 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2014, 1.37 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2015, 1.43 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2016, 1.40 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2017, 1.41 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
2018, 1.41 ,,,,,,,,,,VESSELS WITH AVERAGE REV $5K-$25K,AVERAGE ESI
1981, 2.04 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1982, 1.99 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1983, 1.95 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1984, 2.12 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1985, 1.96 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1986, 1.91 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1987, 1.87 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1988, 2.03 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1989, 1.81 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1990, 1.91 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1991, 1.90 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1992, 1.80 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1993, 1.85 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1994, 1.86 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1995, 1.83 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1996, 1.65 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1997, 1.69 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1998, 1.75 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1999, 1.62 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2000, 1.71 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2001, 1.71 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2002, 1.70 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2003, 1.62 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2004, 1.65 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2005, 1.68 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2006, 1.69 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2007, 1.62 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2008, 1.68 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2009, 1.65 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2010, 1.73 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2011, 1.65 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2012, 1.65 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2013, 1.67 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2014, 1.60 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2015, 1.62 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2016, 1.63 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2017, 1.67 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
2018, 1.71 ,,,,,,,,,,VESSELS WITH AVERAGE REV $25K-$100K,AVERAGE ESI
1981, 2.14 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1982, 2.25 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1983, 2.02 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1984, 2.24 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1985, 2.21 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1986, 2.29 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1987, 2.40 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1988, 2.55 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1989, 2.01 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1990, 2.35 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1991, 2.45 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1992, 2.45 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1993, 2.49 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1994, 2.47 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1995, 2.30 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1996, 2.26 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1997, 2.31 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1998, 2.24 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1999, 2.12 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2000, 2.19 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2001, 2.26 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2002, 2.15 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2003, 2.11 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2004, 2.14 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2005, 2.07 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2006, 2.10 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2007, 2.09 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2008, 2.11 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2009, 2.12 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2010, 2.12 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2011, 2.07 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2012, 2.07 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2013, 1.99 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2014, 2.04 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2015, 2.00 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2016, 2.00 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2017, 2.00 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
2018, 2.00 ,,,,,,,,,,VESSELS WITH AVERAGE REV >$100K,AVERAGE ESI
1981, 1.54 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1982, 1.53 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1983, 1.57 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1984, 1.68 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1985, 1.53 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1986, 1.49 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1987, 1.51 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1988, 1.60 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1989, 1.47 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1990, 1.54 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1991, 1.53 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1992, 1.52 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1993, 1.53 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1994, 1.57 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1995, 1.56 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1996, 1.46 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1997, 1.51 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1998, 1.55 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1999, 1.46 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2000, 1.51 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2001, 1.53 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2002, 1.51 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2003, 1.46 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2004, 1.49 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2005, 1.51 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2006, 1.52 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2007, 1.48 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2008, 1.54 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2009, 1.52 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2010, 1.57 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2011, 1.51 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2012, 1.51 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2013, 1.53 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2014, 1.49 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2015, 1.51 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2016, 1.52 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2017, 1.56 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
2018, 1.58 ,,,,,,,,,,VESSELS WITH AVERAGE REV <41 feet,AVERAGE ESI
1981, 2.01 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1982, 2.04 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1983, 1.95 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1984, 2.12 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1985, 2.09 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1986, 2.16 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1987, 2.33 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1988, 2.45 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1989, 2.03 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1990, 2.29 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1991, 2.42 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1992, 2.45 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1993, 2.52 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1994, 2.53 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1995, 2.34 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1996, 2.22 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1997, 2.37 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1998, 2.29 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1999, 2.19 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2000, 2.25 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2001, 2.35 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2002, 2.17 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2003, 2.10 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2004, 2.17 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2005, 2.14 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2006, 2.18 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2007, 2.17 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2008, 2.16 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2009, 2.19 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2010, 2.18 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2011, 2.16 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2012, 2.18 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2013, 2.06 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2014, 2.15 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2015, 2.14 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2016, 2.10 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2017, 2.09 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
2018, 2.10 ,,,,,,,,,,VESSELS WITH AVERAGE REV 41-80 Feet,AVERAGE ESI
1981, 1.99 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1982, 2.01 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1983, 1.83 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1984, 1.86 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1985, 2.07 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1986, 2.16 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1987, 2.12 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1988, 2.24 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1989, 2.21 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1990, 2.48 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1991, 2.58 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1992, 2.71 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1993, 2.72 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1994, 2.43 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1995, 2.37 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1996, 2.80 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1997, 2.58 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1998, 2.35 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
1999, 2.28 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2000, 2.49 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2001, 2.34 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2002, 2.35 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2003, 2.47 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2004, 2.45 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2005, 2.15 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2006, 2.34 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2007, 2.35 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2008, 2.31 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2009, 2.30 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2010, 2.36 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2011, 2.26 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2012, 2.19 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2013, 2.04 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2014, 2.16 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2015, 2.12 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2016, 2.19 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2017, 2.14 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
2018, 2.19 ,,,,,,,,,,VESSELS WITH AVERAGE REV 81-125 Feet,AVERAGE ESI
