year,index,sd.w,n,SDup,SDlo,se,SEup,SElo,CLup,CLlo,timeseries,metric
2007,0.176383819,0.257227154,384,0.433610973,0.433610973,0.013126568,0.189510387,0.163257251,0.202111893,0.150655745,Scavenger ratio - North,Ratio
2008,0.171336691,0.255813832,344,0.427150523,0.427150523,0.013792557,0.185129249,0.157544134,0.198370104,0.144303279,Scavenger ratio - North,Ratio
2009,0.194453016,0.255762986,352,0.450216002,0.450216002,0.013632213,0.208085229,0.180820803,0.221172153,0.167733878,Scavenger ratio - North,Ratio
2010,0.225188345,0.276948499,369,0.502136845,0.502136845,0.014417363,0.239605708,0.210770982,0.253446377,0.196930314,Scavenger ratio - North,Ratio
2011,0.214557251,0.255274064,365,0.469831315,0.469831315,0.013361655,0.227918906,0.201195596,0.240746095,0.188368407,Scavenger ratio - North,Ratio
2012,0.224152531,0.262838103,369,0.486990634,0.486990634,0.013682805,0.237835336,0.210469726,0.250970829,0.197334233,Scavenger ratio - North,Ratio
2013,0.18891925,0.249543863,273,0.438463113,0.438463113,0.015103082,0.204022331,0.173816168,0.21852129,0.15931721,Scavenger ratio - North,Ratio
2014,0.186068331,0.261358744,358,0.447427075,0.447427075,0.013813239,0.19988157,0.172255093,0.213142279,0.158994383,Scavenger ratio - North,Ratio
2015,0.175903612,0.250933618,336,0.42683723,0.42683723,0.013689551,0.189593163,0.16221406,0.202735132,0.149072091,Scavenger ratio - North,Ratio
2016,0.22519097,0.261947554,353,0.487138524,0.487138524,0.013942062,0.239133032,0.211248909,0.252517411,0.19786453,Scavenger ratio - North,Ratio
2003,0.251305814,0.309000654,212,0.560306469,0.560306469,0.021222252,0.272528066,0.230083562,0.292901428,0.2097102,Scavenger ratio - South,Ratio
2004,0.276322915,0.29697145,220,0.573294365,0.573294365,0.020021811,0.296344726,0.256301104,0.315565665,0.237080166,Scavenger ratio - South,Ratio
2005,0.271205645,0.292582625,284,0.563788269,0.563788269,0.017361585,0.288567229,0.25384406,0.305234351,0.237176939,Scavenger ratio - South,Ratio
2006,0.292225183,0.315324247,308,0.60754943,0.60754943,0.017967266,0.310192449,0.274257916,0.327441025,0.257009341,Scavenger ratio - South,Ratio
2007,0.292740975,0.310661327,304,0.603402302,0.603402302,0.017817649,0.310558624,0.274923326,0.327663567,0.257818383,Scavenger ratio - South,Ratio
2008,0.290654449,0.306345838,332,0.597000287,0.597000287,0.016812912,0.307467361,0.273841537,0.323607757,0.257701141,Scavenger ratio - South,Ratio
2009,0.309558006,0.300091977,330,0.609649983,0.609649983,0.01651952,0.326077526,0.293038486,0.341936265,0.277179748,Scavenger ratio - South,Ratio
2010,0.351140453,0.296206973,344,0.647347426,0.647347426,0.01597041,0.367110863,0.335170043,0.382442456,0.31983845,Scavenger ratio - South,Ratio
2011,0.330761574,0.289857135,329,0.620618709,0.620618709,0.015980341,0.346741915,0.314781233,0.362083043,0.299440105,Scavenger ratio - South,Ratio
2012,0.284446312,0.29186414,326,0.576310452,0.576310452,0.01616486,0.300611172,0.268281453,0.316129437,0.252763187,Scavenger ratio - South,Ratio
2013,0.248213199,0.29790888,196,0.546122079,0.546122079,0.021279206,0.269492405,0.226933993,0.289920442,0.206505956,Scavenger ratio - South,Ratio
2014,0.268669317,0.303347983,326,0.572017299,0.572017299,0.016800891,0.285470208,0.251868426,0.301599063,0.235739571,Scavenger ratio - South,Ratio
2015,0.304774883,0.310227428,336,0.615002311,0.615002311,0.016924294,0.321699177,0.287850589,0.337946499,0.271603267,Scavenger ratio - South,Ratio
2016,0.311137535,0.316076389,320,0.627213924,0.627213924,0.017669207,0.328806743,0.293468328,0.345769182,0.276505889,Scavenger ratio - South,Ratio
