"year","index","SEup","SElo","timeseries","metric"
2009,43.9199889862586,46.0580725073306,41.7819054651865,"Spp Density Coastwide","No spp per  11 trawls"
2010,44.6654938733429,47.0090032208513,42.3219845258346,"Spp Density Coastwide","No spp per  11 trawls"
2011,44.0811170938814,46.0950553914571,42.0671787963057,"Spp Density Coastwide","No spp per  11 trawls"
2012,43.0827806181778,45.5225642516109,40.6429969847447,"Spp Density Coastwide","No spp per  11 trawls"
2013,43.9253563809206,46.0799710721839,41.7707416896574,"Spp Density Coastwide","No spp per  11 trawls"
2014,44.8977875973169,47.339594229946,42.4559809646878,"Spp Density Coastwide","No spp per  11 trawls"
2015,46.2170482752316,48.6097091092226,43.8243874412406,"Spp Density Coastwide","No spp per  11 trawls"
2016,43.8984760729976,46.2803629269554,41.5165892190398,"Spp Density Coastwide","No spp per  11 trawls"
2017,45.0020307655508,47.368716296004,42.6353452350977,"Spp Density Coastwide","No spp per  11 trawls"
2018,45.0745175330418,47.5055287951549,42.6435062709286,"Spp Density Coastwide","No spp per  11 trawls"
2003,28.5853411912675,31.001033864952,26.169648517583,"Spp Richness North","No spp per 5020 indiv"
2004,31.6424894406936,33.6731823847859,29.6117964966012,"Spp Richness North","No spp per 5020 indiv"
2005,33.0033600173541,35.8283819993997,30.1783380353085,"Spp Richness North","No spp per 5020 indiv"
2006,31.7422960626958,34.3542955867608,29.1302965386308,"Spp Richness North","No spp per 5020 indiv"
2007,32.0223929079066,34.5275436196781,29.5172421961351,"Spp Richness North","No spp per 5020 indiv"
2008,32.853212059343,35.4526591297642,30.2537649889218,"Spp Richness North","No spp per 5020 indiv"
2009,33.6429926610161,36.0895370058141,31.1964483162182,"Spp Richness North","No spp per 5020 indiv"
2010,34.5592695579174,37.3855762609749,31.7329628548598,"Spp Richness North","No spp per 5020 indiv"
2011,31.5553020238538,33.7830975608862,29.3275064868215,"Spp Richness North","No spp per 5020 indiv"
2012,31.8904674930587,33.8538645196361,29.9270704664813,"Spp Richness North","No spp per 5020 indiv"
2013,32.5743108469816,34.8576454605655,30.2909762333976,"Spp Richness North","No spp per 5020 indiv"
2014,33.0732684075699,35.3471724681752,30.7993643469645,"Spp Richness North","No spp per 5020 indiv"
2015,33.8709607810435,36.8503390371159,30.891582524971,"Spp Richness North","No spp per 5020 indiv"
2016,32.5482462714628,34.9231280247693,30.1733645181562,"Spp Richness North","No spp per 5020 indiv"
2017,32.0702517399913,34.4202918190976,29.7202116608849,"Spp Richness North","No spp per 5020 indiv"
2018,31.4451757738042,33.9175725163675,28.9727790312409,"Spp Richness North","No spp per 5020 indiv"
2003,44.9951581844519,48.8017673194135,41.1885490494904,"Spp Density North","No spp per  11 trawls"
2004,41.8133085341276,44.7034517542077,38.9231653140476,"Spp Density North","No spp per  11 trawls"
2005,43.2847516739895,46.0222793735806,40.5472239743983,"Spp Density North","No spp per  11 trawls"
2006,41.7880371352381,44.4481357644877,39.1279385059884,"Spp Density North","No spp per  11 trawls"
2007,41.4794642394764,44.2586150722195,38.7003134067332,"Spp Density North","No spp per  11 trawls"
2008,41.659836526699,44.4194745497961,38.900198503602,"Spp Density North","No spp per  11 trawls"
2009,42.8464879955252,45.8407424342778,39.8522335567725,"Spp Density North","No spp per  11 trawls"
2010,44.2436055871794,47.4486741719781,41.0385370023806,"Spp Density North","No spp per  11 trawls"
2011,43.7016820853391,46.9400851854626,40.4632789852156,"Spp Density North","No spp per  11 trawls"
2012,43.0622805400545,46.381436124828,39.743124955281,"Spp Density North","No spp per  11 trawls"
2013,43.3090080402366,46.3438611061905,40.2741549742828,"Spp Density North","No spp per  11 trawls"
2014,46.2660046272154,50.0231809685848,42.508828285846,"Spp Density North","No spp per  11 trawls"
2015,46.2456600581534,50.6046117932089,41.8867083230978,"Spp Density North","No spp per  11 trawls"
2016,43.8909430042971,47.1330967713873,40.6487892372068,"Spp Density North","No spp per  11 trawls"
2017,47.1054037704284,50.9240747502491,43.2867327906077,"Spp Density North","No spp per  11 trawls"
2018,45.1207695736286,48.6199270817276,41.6216120655296,"Spp Density North","No spp per  11 trawls"
2003,34.7003060608461,38.6944679000547,30.7061442216375,"Spp Richness South","No spp per 5020 indiv"
2004,33.4843823348805,35.5140929698684,31.4546716998926,"Spp Richness South","No spp per 5020 indiv"
2005,34.0779940552938,37.7761593237345,30.3798287868531,"Spp Richness South","No spp per 5020 indiv"
2006,38.5887478745265,41.3831777686094,35.7943179804436,"Spp Richness South","No spp per 5020 indiv"
2007,38.1330360154677,39.4709631698258,36.7951088611097,"Spp Richness South","No spp per 5020 indiv"
2008,37.1853546077108,40.2934422564516,34.07726695897,"Spp Richness South","No spp per 5020 indiv"
2009,39.8961666576777,42.1692217446662,37.6231115706892,"Spp Richness South","No spp per 5020 indiv"
2010,38.6931953702514,40.9996931209765,36.3866976195263,"Spp Richness South","No spp per 5020 indiv"
2011,39.3863204635728,42.295737203908,36.4769037232376,"Spp Richness South","No spp per 5020 indiv"
2012,34.4049735862442,37.4452920063429,31.3646551661456,"Spp Richness South","No spp per 5020 indiv"
2013,33.4253686510432,35.9190965119463,30.9316407901401,"Spp Richness South","No spp per 5020 indiv"
2014,35.966213401705,37.8123786068376,34.1200481965723,"Spp Richness South","No spp per 5020 indiv"
2015,40.2256344073683,43.0069120941489,37.4443567205878,"Spp Richness South","No spp per 5020 indiv"
2016,35.5659803876669,37.2920720133306,33.8398887620031,"Spp Richness South","No spp per 5020 indiv"
2017,37.2366271612183,39.9884807774975,34.4847735449391,"Spp Richness South","No spp per 5020 indiv"
2018,36.0628842944867,38.3492576848924,33.776510904081,"Spp Richness South","No spp per 5020 indiv"
2003,44.3811994851229,49.5469760186462,39.2154229515996,"Spp Density South","No spp per  11 trawls"
2004,45.2986637276586,49.440986000907,41.1563414544102,"Spp Density South","No spp per  11 trawls"
2005,45.0757550224932,48.6367582880258,41.5147517569607,"Spp Density South","No spp per  11 trawls"
2006,46.6619785701464,49.8992824091325,43.4246747311603,"Spp Density South","No spp per  11 trawls"
2007,43.5819275846566,47.0235204295443,40.1403347397689,"Spp Density South","No spp per  11 trawls"
2008,43.5634020245904,48.0539910358562,39.0728130133247,"Spp Density South","No spp per  11 trawls"
2009,44.8606542614295,48.2657281311765,41.4555803916824,"Spp Density South","No spp per  11 trawls"
2010,45.0351774267082,48.8700058199586,41.2003490334577,"Spp Density South","No spp per  11 trawls"
2011,44.4136005659983,47.3666246090439,41.4605765229528,"Spp Density South","No spp per  11 trawls"
2012,43.1007440032099,47.1120339876143,39.0894540188054,"Spp Density South","No spp per  11 trawls"
2013,44.4654373743201,47.9244590318585,41.0064157167817,"Spp Density South","No spp per  11 trawls"
2014,43.6988746386584,47.3339291643599,40.0638201129569,"Spp Density South","No spp per  11 trawls"
2015,46.1919769330647,49.239281799903,43.1446720662264,"Spp Density South","No spp per  11 trawls"
2016,43.9050769948443,47.8201184048302,39.9900355848583,"Spp Density South","No spp per  11 trawls"
2017,43.1589305136652,46.4049059842495,39.912955043081,"Spp Density South","No spp per  11 trawls"
2018,45.0339887502447,48.9085814253668,41.1593960751227,"Spp Density South","No spp per  11 trawls"
2003,0.650263474529228,0.658922330165665,0.641604618892791,"Simpson diversity - Coastwide","1-lambda"
2004,0.66209258279163,0.670669885648108,0.653515279935152,"Simpson diversity - Coastwide","1-lambda"
2005,0.672120272645567,0.679178173305618,0.665062371985516,"Simpson diversity - Coastwide","1-lambda"
2006,0.65305759319094,0.660773099983172,0.645342086398708,"Simpson diversity - Coastwide","1-lambda"
2007,0.657943973869922,0.665144155408199,0.650743792331645,"Simpson diversity - Coastwide","1-lambda"
2008,0.632791268257555,0.640293066632875,0.625289469882235,"Simpson diversity - Coastwide","1-lambda"
2009,0.630690177030448,0.638488571205079,0.622891782855817,"Simpson diversity - Coastwide","1-lambda"
2010,0.663821138986778,0.670911709081808,0.656730568891748,"Simpson diversity - Coastwide","1-lambda"
2011,0.675265021886407,0.682642652011404,0.66788739176141,"Simpson diversity - Coastwide","1-lambda"
2012,0.650791627269366,0.658573613437689,0.643009641101043,"Simpson diversity - Coastwide","1-lambda"
2013,0.662609065308302,0.671146245537768,0.654071885078836,"Simpson diversity - Coastwide","1-lambda"
2014,0.672018485523877,0.679364816045271,0.664672155002483,"Simpson diversity - Coastwide","1-lambda"
2015,0.696071283119591,0.703046619940876,0.689095946298306,"Simpson diversity - Coastwide","1-lambda"
2016,0.69769544404882,0.70431522930294,0.6910756587947,"Simpson diversity - Coastwide","1-lambda"
2017,0.667276176102697,0.674294224609326,0.660258127596068,"Simpson diversity - Coastwide","1-lambda"
2018,0.654748412111207,0.661614949455121,0.647881874767293,"Simpson diversity - Coastwide","1-lambda"
2003,0.662624225276891,0.673735251244266,0.651513199309516,"Simpson diversity - North","1-lambda"
2004,0.696859782705619,0.707230873944513,0.686488691466725,"Simpson diversity - North","1-lambda"
2005,0.703133334290549,0.711616909041892,0.694649759539206,"Simpson diversity - North","1-lambda"
2006,0.666628046090686,0.67739453237337,0.655861559808002,"Simpson diversity - North","1-lambda"
2007,0.666645763526044,0.676415397826593,0.656876129225495,"Simpson diversity - North","1-lambda"
2008,0.649866791218663,0.66045077255655,0.639282809880776,"Simpson diversity - North","1-lambda"
2009,0.649036909001817,0.659779463745408,0.638294354258226,"Simpson diversity - North","1-lambda"
2010,0.690851170519217,0.70051608030555,0.681186260732884,"Simpson diversity - North","1-lambda"
2011,0.701872390593235,0.711879251569242,0.691865529617228,"Simpson diversity - North","1-lambda"
2012,0.674510232309225,0.684616878944714,0.664403585673736,"Simpson diversity - North","1-lambda"
2013,0.676968409490099,0.687929259275733,0.666007559704465,"Simpson diversity - North","1-lambda"
2014,0.690634652675561,0.70022394256064,0.681045362790482,"Simpson diversity - North","1-lambda"
2015,0.726553841700865,0.735588777842678,0.717518905559052,"Simpson diversity - North","1-lambda"
2016,0.725417738419093,0.734284927451915,0.716550549386271,"Simpson diversity - North","1-lambda"
2017,0.693520864357971,0.702645878270465,0.684395850445477,"Simpson diversity - North","1-lambda"
2018,0.666727309769254,0.6766445606122,0.656810058926308,"Simpson diversity - North","1-lambda"
2003,0.625440946691722,0.639137905889841,0.611743987493603,"Simpson diversity - South","1-lambda"
2004,0.604661102876092,0.618362564099617,0.590959641652567,"Simpson diversity - South","1-lambda"
2005,0.613833926581845,0.625401766400296,0.602266086763394,"Simpson diversity - South","1-lambda"
2006,0.628851583675452,0.639725444708644,0.61797772264226,"Simpson diversity - South","1-lambda"
2007,0.640563717472133,0.651066636681416,0.63006079826285,"Simpson diversity - South","1-lambda"
2008,0.604312385670393,0.614715299396879,0.593909471943907,"Simpson diversity - South","1-lambda"
2009,0.600130940446242,0.61133390158646,0.588927979306024,"Simpson diversity - South","1-lambda"
2010,0.619673492384072,0.62969213320653,0.609654851561614,"Simpson diversity - South","1-lambda"
2011,0.632309360739515,0.642906545010243,0.621712176468787,"Simpson diversity - South","1-lambda"
2012,0.61159725148187,0.623558417150251,0.599636085813489,"Simpson diversity - South","1-lambda"
2013,0.633463872170352,0.646986956035507,0.619940788305197,"Simpson diversity - South","1-lambda"
2014,0.639136971835698,0.650530539883094,0.627743403788302,"Simpson diversity - South","1-lambda"
2015,0.649021302898735,0.659505746000956,0.638536859796514,"Simpson diversity - South","1-lambda"
2016,0.651553928901127,0.661047871378279,0.642059986423975,"Simpson diversity - South","1-lambda"
2017,0.622057064429496,0.632727974884512,0.61138615397448,"Simpson diversity - South","1-lambda"
2018,0.635173549532728,0.644385358827799,0.625961740237657,"Simpson diversity - South","1-lambda"
