Time,Station,Year,Month,SouthernBiomassAnomaly,NorthernBiomassAnomaly,SppRichnessAnom
2002-03-01T00:00:00-00:00,NH05,2002,3,-0.016915087,0.185364706,-0.52941176470588
2002-04-01T00:00:00-00:00,NH05,2002,4,-0.099250654,0.386168301,1.01470588235294
2002-05-01T00:00:00-00:00,NH05,2002,5,-0.304239403,0.819349074,-0.458333333333334
2002-06-01T00:00:00-00:00,NH05,2002,6,-0.224601636,0.448312207,-3.10787037037037
2002-07-01T00:00:00-00:00,NH05,2002,7,-0.18755464,0.092562222,-1.98425925925926
2002-08-01T00:00:00-00:00,NH05,2002,8,-0.199107665,-0.233619599,-1.0462962962963
2002-09-01T00:00:00-00:00,NH05,2002,9,-0.240051656,0.300060432,0.982407407407408
2002-10-01T00:00:00-00:00,NH05,2002,10,-0.274117438,0.607843056,-1.52777777777778
2002-11-01T00:00:00-00:00,NH05,2002,11,0.063242901,0.545390741,1.30555555555556
2002-12-01T00:00:00-00:00,NH05,2002,12,0.151256667,0.220882222,6.9
2003-01-01T00:00:00-00:00,NH05,2003,1,0.015843981,-0.357529167,1.29166666666667
2003-02-01T00:00:00-00:00,NH05,2003,2,0.054842361,-0.447819792,0.593749999999998
2003-03-01T00:00:00-00:00,NH05,2003,3,0.639777505,0.258598039,3.13725490196079
2003-04-01T00:00:00-00:00,NH05,2003,4,0.414456754,0.179934967,6.34803921568627
2003-05-01T00:00:00-00:00,NH05,2003,5,0.362810597,-0.423173148,6.54166666666667
2003-06-01T00:00:00-00:00,NH05,2003,6,0.045731698,0.32268304,3.76712962962963
2003-07-01T00:00:00-00:00,NH05,2003,7,0.145059249,0.040987222,1.01574074074074
2003-08-01T00:00:00-00:00,NH05,2003,8,-0.048140998,-0.161641821,-1.37962962962963
2003-09-01T00:00:00-00:00,NH05,2003,9,-0.060966471,-0.437384012,-0.017592592592592
2003-10-01T00:00:00-00:00,NH05,2003,10,0.182515895,-0.080940278,1.97222222222222
2003-11-01T00:00:00-00:00,NH05,2003,11,-0.162062654,-0.144692593,0.805555555555555
2004-01-01T00:00:00-00:00,NH05,2004,1,0.124510648,-0.9306125,-0.708333333333334
2004-02-01T00:00:00-00:00,NH05,2004,2,0.192512731,-0.407264236,-1.07291666666667
2004-03-01T00:00:00-00:00,NH05,2004,3,0.342655283,-0.453535294,4.47058823529412
2004-04-01T00:00:00-00:00,NH05,2004,4,0.38105305,0.283179412,2.68137254901961
2004-05-01T00:00:00-00:00,NH05,2004,5,0.226088374,0.548026852,1.54166666666667
2004-06-01T00:00:00-00:00,NH05,2004,6,0.250395586,0.40245804,3.01712962962963
2004-07-01T00:00:00-00:00,NH05,2004,7,0.105033323,-0.109504444,1.01574074074074
2004-08-01T00:00:00-00:00,NH05,2004,8,0.248397891,-0.010641821,0.537037037037036
2004-09-01T00:00:00-00:00,NH05,2004,9,0.186467788,-0.558572901,0.982407407407408
2004-10-01T00:00:00-00:00,NH05,2004,10,0.10491034,-0.637756944,4.47222222222222
2004-11-01T00:00:00-00:00,NH05,2004,11,0.167054012,-0.170109259,-0.694444444444445
2004-12-01T00:00:00-00:00,NH05,2004,12,-0.034098889,-0.299851111,0.9
2005-01-01T00:00:00-00:00,NH05,2005,1,0.386888426,-0.509195833,2.29166666666667
2005-02-01T00:00:00-00:00,NH05,2005,2,0.464884954,-0.460780903,3.42708333333333
2005-03-01T00:00:00-00:00,NH05,2005,3,0.300010839,-0.737435294,-0.862745098039214
2005-04-01T00:00:00-00:00,NH05,2005,4,0.640075272,-0.820620588,0.681372549019606
2005-05-01T00:00:00-00:00,NH05,2005,5,0.647666152,-1.195523148,4.54166666666667
2005-06-01T00:00:00-00:00,NH05,2005,6,0.642496512,-1.535144738,3.26712962962963
2005-07-01T00:00:00-00:00,NH05,2005,7,0.605259249,-1.132771111,7.01574074074074
2005-08-01T00:00:00-00:00,NH05,2005,8,0.544870113,-0.199658488,3.78703703703704
2005-09-01T00:00:00-00:00,NH05,2005,9,0.289240936,-0.16476179,3.31574074074074
2005-10-01T00:00:00-00:00,NH05,2005,10,0.377649228,0.053676389,0.972222222222221
2005-11-01T00:00:00-00:00,NH05,2005,11,0.130826235,-0.068992593,-0.194444444444445
2005-12-01T00:00:00-00:00,NH05,2005,12,0.121634444,0.435715556,-2.1
2006-02-01T00:00:00-00:00,NH05,2006,2,-0.066342824,0.089902431,4.92708333333333
2006-03-01T00:00:00-00:00,NH05,2006,3,0.164855283,0.087598039,3.13725490196079
2006-04-01T00:00:00-00:00,NH05,2006,4,-0.021143246,-0.401520588,-0.98529411764706
2006-05-01T00:00:00-00:00,NH05,2006,5,-0.011275514,-0.624298148,2.54166666666667
2006-06-01T00:00:00-00:00,NH05,2006,6,0.17284392,0.18019304,2.06712962962963
2006-07-01T00:00:00-00:00,NH05,2006,7,0.046175916,0.171395556,3.01574074074074
2006-08-01T00:00:00-00:00,NH05,2006,8,0.036378447,-0.125500154,2.28703703703704
2006-09-01T00:00:00-00:00,NH05,2006,9,0.110570566,0.355893765,3.48240740740741
2006-10-01T00:00:00-00:00,NH05,2006,10,-0.110522994,0.042659722,-1.52777777777778
2006-11-01T00:00:00-00:00,NH05,2006,11,0.621248457,-0.239059259,2.80555555555556
2006-12-01T00:00:00-00:00,NH05,2006,12,0.040145556,-0.256651111,-2.1
2007-01-01T00:00:00-00:00,NH05,2007,1,-0.001061574,0.158970833,0.291666666666666
2007-02-01T00:00:00-00:00,NH05,2007,2,-0.063587269,0.518635764,-4.07291666666667
2007-03-01T00:00:00-00:00,NH05,2007,3,-0.156555828,-0.254526961,-0.862745098039214
2007-04-01T00:00:00-00:00,NH05,2007,4,-0.316413617,0.195779412,-2.31862745098039
2007-05-01T00:00:00-00:00,NH05,2007,5,-0.262057922,0.111171296,-1.79166666666667
2007-06-01T00:00:00-00:00,NH05,2007,6,-0.158637747,0.315474707,-1.48287037037037
2007-07-01T00:00:00-00:00,NH05,2007,7,-0.124425936,0.13734,-0.650925925925923
2007-08-01T00:00:00-00:00,NH05,2007,8,0.000270113,0.035458179,0.287037037037036
2007-09-01T00:00:00-00:00,NH05,2007,9,0.186298344,0.082993765,0.482407407407408
2007-10-01T00:00:00-00:00,NH05,2007,10,0.019554784,-0.256723611,0.472222222222221
2007-11-01T00:00:00-00:00,NH05,2007,11,-0.31536821,-0.135909259,-1.19444444444444
2007-12-01T00:00:00-00:00,NH05,2007,12,-0.49321,0.176882222,-4.1
2008-02-01T00:00:00-00:00,NH05,2008,2,-0.245092824,0.094702431,-1.57291666666667
2008-03-01T00:00:00-00:00,NH05,2008,3,-0.47197805,0.549831373,-5.36274509803921
2008-04-01T00:00:00-00:00,NH05,2008,4,-0.274858061,0.688696078,-0.318627450980394
2008-05-01T00:00:00-00:00,NH05,2008,5,-0.280747737,0.564385185,-1.70833333333333
2008-06-01T00:00:00-00:00,NH05,2008,6,-0.242451636,0.282121929,-0.732870370370371
2008-07-01T00:00:00-00:00,NH05,2008,7,-0.214240751,0.297987222,0.015740740740743
2008-08-01T00:00:00-00:00,NH05,2008,8,-0.210755813,0.219780401,-1.0462962962963
2008-09-01T00:00:00-00:00,NH05,2008,9,-0.220210916,-0.078717346,-0.350925925925926
2008-10-01T00:00:00-00:00,NH05,2008,10,-0.178759105,0.368718056,-1.02777777777778
2008-11-01T00:00:00-00:00,NH05,2008,11,-0.066584877,0.179524074,1.80555555555556
2008-12-01T00:00:00-00:00,NH05,2008,12,0.193534444,0.116448889,-2.1
2009-01-01T00:00:00-00:00,NH05,2009,1,-0.294550463,0.790020833,0.291666666666666
2009-02-01T00:00:00-00:00,NH05,2009,2,-0.181665046,0.328352431,-0.072916666666668
2009-03-01T00:00:00-00:00,NH05,2009,3,-0.43532805,-0.135018627,-5.36274509803921
2009-04-01T00:00:00-00:00,NH05,2009,4,-0.382369172,0.531246078,-1.31862745098039
2009-05-01T00:00:00-00:00,NH05,2009,5,-0.296824588,0.622271296,-1.45833333333333
2009-06-01T00:00:00-00:00,NH05,2009,6,-0.174859043,0.127977485,0.600462962962963
2009-07-01T00:00:00-00:00,NH05,2009,7,-0.195735195,0.111895556,-0.984259259259257
2009-08-01T00:00:00-00:00,NH05,2009,8,-0.134879887,0.203924846,-0.712962962962964
2009-09-01T00:00:00-00:00,NH05,2009,9,-0.126429434,-0.302806235,-0.684259259259258
2009-10-01T00:00:00-00:00,NH05,2009,10,-0.272461883,-0.282590278,-2.02777777777778
2009-11-01T00:00:00-00:00,NH05,2009,11,-0.273951543,-0.058942593,-0.694444444444445
2009-12-01T00:00:00-00:00,NH05,2009,12,-0.079693333,0.203648889,0.4
2010-02-01T00:00:00-00:00,NH05,2010,2,0.400868287,-0.665714236,2.92708333333333
2010-03-01T00:00:00-00:00,NH05,2010,3,0.239177505,0.037531373,5.13725490196079
2010-04-01T00:00:00-00:00,NH05,2010,4,0.33085305,-0.796053922,5.68137254901961
2010-05-01T00:00:00-00:00,NH05,2010,5,0.543360597,-0.182784259,5.20833333333333
2010-06-01T00:00:00-00:00,NH05,2010,6,0.338676142,0.223599707,6.51712962962963
2010-07-01T00:00:00-00:00,NH05,2010,7,0.099473138,0.246237222,2.51574074074074
2010-08-01T00:00:00-00:00,NH05,2010,8,0.042810854,0.296313735,1.62037037037037
2010-09-01T00:00:00-00:00,NH05,2010,9,0.007662233,0.232885432,-0.267592592592592
2010-10-01T00:00:00-00:00,NH05,2010,10,0.135527006,0.440559722,1.97222222222222
2010-11-01T00:00:00-00:00,NH05,2010,11,-0.211062654,0.032357407,-2.19444444444444
2011-01-01T00:00:00-00:00,NH05,2011,1,-0.086772685,0.137254167,-1.70833333333333
2011-02-01T00:00:00-00:00,NH05,2011,2,0.033618287,0.501902431,2.42708333333333
2011-03-01T00:00:00-00:00,NH05,2011,3,-0.387655828,1.050464706,-4.86274509803921
2011-04-01T00:00:00-00:00,NH05,2011,4,-0.245874728,0.727129412,-3.31862745098039
2011-05-01T00:00:00-00:00,NH05,2011,5,-0.056167181,0.849393519,-2.95833333333333
2011-06-01T00:00:00-00:00,NH05,2011,6,-0.197281265,0.353399707,-1.39953703703704
2011-07-01T00:00:00-00:00,NH05,2011,7,-0.086251862,0.486345556,-2.48425925925926
2011-08-01T00:00:00-00:00,NH05,2011,8,-0.185146553,-0.018508488,-0.212962962962964
2011-09-01T00:00:00-00:00,NH05,2011,9,-0.180289434,0.507200432,-3.61759259259259
2011-10-01T00:00:00-00:00,NH05,2011,10,0.04056034,0.037826389,2.47222222222222
2011-11-01T00:00:00-00:00,NH05,2011,11,0.137659568,-0.007425926,3.80555555555556
2011-12-01T00:00:00-00:00,NH05,2011,12,-0.125832222,0.285648889,0.9
2012-01-01T00:00:00-00:00,NH05,2012,1,-0.002300463,0.991870833,-1.70833333333333
2012-02-01T00:00:00-00:00,NH05,2012,2,-0.036320602,1.012169097,-0.072916666666668
2012-03-01T00:00:00-00:00,NH05,2012,3,-0.095294717,0.942264706,-1.36274509803921
2012-04-01T00:00:00-00:00,NH05,2012,4,0.105475272,0.022729412,-0.818627450980394
2012-05-01T00:00:00-00:00,NH05,2012,5,-0.193117181,0.338637963,-3.125
2012-06-01T00:00:00-00:00,NH05,2012,6,-0.199066451,0.530021929,-1.39953703703704
2012-07-01T00:00:00-00:00,NH05,2012,7,-0.158644455,0.474773333,-1.65092592592592
2012-08-01T00:00:00-00:00,NH05,2012,8,-0.185129887,0.470558179,-0.712962962962964
2012-09-01T00:00:00-00:00,NH05,2012,9,-0.192451656,0.144971543,0.315740740740742
2012-10-01T00:00:00-00:00,NH05,2012,10,-0.163334105,-0.189106944,-2.02777777777778
2012-11-01T00:00:00-00:00,NH05,2012,11,0.290165123,-0.341042593,2.30555555555556
2012-12-01T00:00:00-00:00,NH05,2012,12,0.196578889,-0.160484444,2.9
2013-01-01T00:00:00-00:00,NH05,2013,1,0.204055093,0.1300375,2.29166666666667
2013-02-01T00:00:00-00:00,NH05,2013,2,-0.141465046,0.169435764,0.927083333333332
2013-03-01T00:00:00-00:00,NH05,2013,3,0.071152505,0.724239706,0.637254901960786
2013-04-01T00:00:00-00:00,NH05,2013,4,-0.225521024,0.779912745,-2.31862745098039
2013-05-01T00:00:00-00:00,NH05,2013,5,-0.307533848,0.745593519,-2.95833333333333
2013-06-01T00:00:00-00:00,NH05,2013,6,-0.183622006,0.461510818,-3.0662037037037
2013-07-01T00:00:00-00:00,NH05,2013,7,-0.151318529,-0.080904444,-1.31759259259259
2013-08-01T00:00:00-00:00,NH05,2013,8,-0.244452109,0.287124846,-1.71296296296296
2013-09-01T00:00:00-00:00,NH05,2013,9,-0.122746101,-0.033589568,-3.51759259259259
2013-10-01T00:00:00-00:00,NH05,2013,10,0.17976034,-0.153506944,2.47222222222222
2013-11-01T00:00:00-00:00,NH05,2013,11,-0.152173765,0.221640741,-0.194444444444445
2013-12-01T00:00:00-00:00,NH05,2013,12,0.172001111,-0.120017778,-1.1
2014-01-01T00:00:00-00:00,NH05,2014,1,-0.656100463,0.2440375,-3.70833333333333
2014-02-01T00:00:00-00:00,NH05,2014,2,-0.403809491,0.547952431,-4.57291666666667
2014-03-01T00:00:00-00:00,NH05,2014,3,-0.36347805,0.812298039,-0.862745098039214
2014-04-01T00:00:00-00:00,NH05,2014,4,-0.29569695,0.343046078,-3.81862745098039
2014-05-01T00:00:00-00:00,NH05,2014,5,0.097699486,0.607110185,0.041666666666666
2014-06-01T00:00:00-00:00,NH05,2014,6,-0.174207191,0.125399707,-0.232870370370371
2014-07-01T00:00:00-00:00,NH05,2014,7,-0.10367964,0.249045556,-1.98425925925926
2014-08-01T00:00:00-00:00,NH05,2014,8,-0.100579887,0.254541512,-1.71296296296296
2014-09-01T00:00:00-00:00,NH05,2014,9,0.190752047,0.063349321,3.31574074074074
2014-10-01T00:00:00-00:00,NH05,2014,10,0.623477006,-0.636340278,2.97222222222222
2014-11-01T00:00:00-00:00,NH05,2014,11,0.327537346,-1.066075926,0.805555555555555
2014-12-01T00:00:00-00:00,NH05,2014,12,0.094956667,-0.619984444,5.9
2015-01-01T00:00:00-00:00,NH05,2015,1,0.054606944,-0.538984722,6.95833333333333
2015-02-01T00:00:00-00:00,NH05,2015,2,0.207584954,-0.842364236,8.92708333333333
2015-03-01T00:00:00-00:00,NH05,2015,3,0.412683061,-0.731751961,8.63725490196079
2015-04-01T00:00:00-00:00,NH05,2015,4,0.594819717,-1.130987255,9.68137254901961
2015-05-01T00:00:00-00:00,NH05,2015,5,0.363582819,-0.168362037,11.2083333333333
2015-06-01T00:00:00-00:00,NH05,2015,6,0.228233549,0.060077485,7.9337962962963
2015-07-01T00:00:00-00:00,NH05,2015,7,0.487785175,0.071206667,6.34907407407407
2015-08-01T00:00:00-00:00,NH05,2015,8,0.390866409,-0.407041821,4.62037037037037
2015-09-01T00:00:00-00:00,NH05,2015,9,0.600528899,-0.959789568,6.98240740740741
2015-10-01T00:00:00-00:00,NH05,2015,10,0.799121451,-1.083940278,4.47222222222222
2015-11-01T00:00:00-00:00,NH05,2015,11,0.389004012,-1.139259259,-2.19444444444444
2016-01-01T00:00:00-00:00,NH05,2016,1,0.028388426,-1.144695833,5.29166666666667
2016-02-01T00:00:00-00:00,NH05,2016,2,0.369646065,-1.203364236,5.92708333333333
2016-03-01T00:00:00-00:00,NH05,2016,3,0.326910839,-1.335701961,6.80392156862745
2016-04-01T00:00:00-00:00,NH05,2016,4,0.587630828,-1.434909477,7.34803921568627
2016-05-01T00:00:00-00:00,NH05,2016,5,0.807871708,-1.462989815,9.04166666666667
2016-06-01T00:00:00-00:00,NH05,2016,6,0.53214466,-0.632800293,10.9337962962963
2016-07-01T00:00:00-00:00,NH05,2016,7,0.463714805,-0.628571111,11.0157407407407
2016-08-01T00:00:00-00:00,NH05,2016,8,0.297603447,-0.793375154,5.28703703703704
2016-09-01T00:00:00-00:00,NH05,2016,9,0.414942788,-0.956322901,4.48240740740741
2016-10-01T00:00:00-00:00,NH05,2016,10,0.309893673,-0.352823611,1.97222222222222
2016-11-01T00:00:00-00:00,NH05,2016,11,0.550837346,-1.005492593,6.80555555555556
2016-12-01T00:00:00-00:00,NH05,2016,12,0.166978889,-0.889984444,2.9
2017-01-01T00:00:00-00:00,NH05,2017,1,-0.088678241,-1.144695833,2.29166666666667
2017-02-01T00:00:00-00:00,NH05,2017,2,0.194320139,-1.194619792,5.26041666666666
2017-03-01T00:00:00-00:00,NH05,2017,3,0.460044172,-1.335701961,6.13725490196079
2017-04-01T00:00:00-00:00,NH05,2017,4,0.559647495,-1.387520588,4.18137254901961
2017-05-01T00:00:00-00:00,NH05,2017,5,0.350449486,-1.578806481,6.54166666666667
2017-06-01T00:00:00-00:00,NH05,2017,6,0.706081698,-1.20756696,3.26712962962963
2017-07-01T00:00:00-00:00,NH05,2017,7,0.282907397,-0.405504444,4.34907407407408
2017-08-01T00:00:00-00:00,NH05,2017,8,0.131481224,0.375324846,0.287037037037036
2017-09-01T00:00:00-00:00,NH05,2017,9,0.10226501,-0.335072901,-0.517592592592592
2017-10-01T00:00:00-00:00,NH05,2017,10,0.215599228,0.049126389,0.972222222222221
2017-11-01T00:00:00-00:00,NH05,2017,11,0.147304012,0.359407407,3.80555555555556
2017-12-01T00:00:00-00:00,NH05,2017,12,-0.116437778,-0.304751111,-1.6
2018-02-01T00:00:00-00:00,NH05,2018,2,0.129040509,-0.176297569,5.42708333333333
2018-03-01T00:00:00-00:00,NH05,2018,3,0.116438617,0.150781373,2.13725490196079
2018-04-01T00:00:00-00:00,NH05,2018,4,0.299991939,0.115562745,2.68137254901961
2018-05-01T00:00:00-00:00,NH05,2018,5,0.163516152,-0.054273148,3.875
2018-06-01T00:00:00-00:00,NH05,2018,6,0.05495392,0.196049707,0.767129629629629
2018-07-01T00:00:00-00:00,NH05,2018,7,0.037942582,0.242745556,0.015740740740743
2018-08-01T00:00:00-00:00,NH05,2018,8,-0.061952109,0.195524846,-0.712962962962964
2018-09-01T00:00:00-00:00,NH05,2018,9,-0.182329434,0.523743765,-2.01759259259259
2018-10-01T00:00:00-00:00,NH05,2018,10,-0.356956327,-0.406390278,-1.52777777777778
2018-11-01T00:00:00-00:00,NH05,2018,11,-0.451384877,0.442674074,-4.19444444444444
2018-12-01T00:00:00-00:00,NH05,2018,12,-0.261798889,-0.086551111,1.9
2019-01-01T00:00:00-00:00,NH05,2019,1,-0.036622685,-0.5960625,4.29166666666667
2019-02-01T00:00:00-00:00,NH05,2019,2,0.226957176,-0.839630903,
2019-03-01T00:00:00-00:00,NH05,2019,3,0.240838617,-0.552918627,
2019-04-01T00:00:00-00:00,NH05,2019,4,0.172597495,-0.330703922,
2019-05-01T00:00:00-00:00,NH05,2019,5,0.271671708,0.560126852,
2019-06-01T00:00:00-00:00,NH05,2019,6,-0.050481265,0.729866373,
2019-07-01T00:00:00-00:00,NH05,2019,7,-0.035040751,0.551612222,
2019-08-01T00:00:00-00:00,NH05,2019,8,0.049881224,0.574491512,
2019-09-01T00:00:00-00:00,NH05,2019,9,0.385192788,-0.407850679,
2019-10-01T00:00:00-00:00,NH05,2019,10,0.425993673,-0.618140278,
2019-11-01T00:00:00-00:00,NH05,2019,11,0.328898457,-0.390909259,
2019-12-01T00:00:00-00:00,NH05,2019,12,0.36399,0.180548889,
2020-02-01T00:00:00-00:00,NH05,2020,2,-0.022570602,0.316669097,
2020-03-01T00:00:00-00:00,NH05,2020,3,-0.017044717,0.709364706,
2020-04-01T00:00:00-00:00,NH05,2020,4,-0.142358061,0.751612745,
2020-05-01T00:00:00-00:00,NH05,2020,5,-0.298561626,0.614726852,
2020-06-01T00:00:00-00:00,NH05,2020,6,-0.242451636,1.080099707,
2020-07-01T00:00:00-00:00,NH05,2020,7,-0.170690751,0.745162222,
2020-08-01T00:00:00-00:00,NH05,2020,8,-0.14856322,0.398974846,
2020-09-01T00:00:00-00:00,NH05,2020,9,0.10966501,-0.161956235,
