order,year,index,metric,timeseries,proportional.difference
3,2012,61.1149765,Millions $,"Groundfish, no hake coastwide",-0.24
3,2013,54.07341383,Millions $,"Groundfish, no hake coastwide",-0.12
3,2014,56.96085266,Millions $,"Groundfish, no hake coastwide",0.05
3,2015,64.84190494,Millions $,"Groundfish, no hake coastwide",0.14
3,2016,66.96033165,Millions $,"Groundfish, no hake coastwide",0.03
3,2017,75.97221494,Millions $,"Groundfish, no hake coastwide",0.13
3,2018,62.11162653,Millions $,"Groundfish, no hake coastwide",-0.18
3,2019,55.23722805,Millions $,"Groundfish, no hake coastwide",-0.11
3,2020,34.74943275,Millions $,"Groundfish, no hake coastwide",-0.37
4,1981,66.97140122,Millions $,"Coastal pelagic spp, no squid coastwide",FALSE
4,1982,69.18495289,Millions $,"Coastal pelagic spp, no squid coastwide",0.03
4,1983,65.53863988,Millions $,"Coastal pelagic spp, no squid coastwide",-0.05
4,1984,33.26631209,Millions $,"Coastal pelagic spp, no squid coastwide",-0.49
4,1985,38.14395338,Millions $,"Coastal pelagic spp, no squid coastwide",0.15
4,1986,35.70521742,Millions $,"Coastal pelagic spp, no squid coastwide",-0.06
4,1987,40.27879155,Millions $,"Coastal pelagic spp, no squid coastwide",0.13
4,1988,40.23213639,Millions $,"Coastal pelagic spp, no squid coastwide",0.00
4,1989,33.61454276,Millions $,"Coastal pelagic spp, no squid coastwide",-0.16
4,1990,36.98993889,Millions $,"Coastal pelagic spp, no squid coastwide",0.10
4,1991,34.27827054,Millions $,"Coastal pelagic spp, no squid coastwide",-0.07
4,1992,31.94644664,Millions $,"Coastal pelagic spp, no squid coastwide",-0.07
4,1993,12.73581731,Millions $,"Coastal pelagic spp, no squid coastwide",-0.60
4,1994,13.57598254,Millions $,"Coastal pelagic spp, no squid coastwide",0.07
4,1995,26.89515344,Millions $,"Coastal pelagic spp, no squid coastwide",0.98
4,1996,35.84700461,Millions $,"Coastal pelagic spp, no squid coastwide",0.33
4,1997,38.93887925,Millions $,"Coastal pelagic spp, no squid coastwide",0.09
4,1998,13.603164,Millions $,"Coastal pelagic spp, no squid coastwide",-0.65
4,1999,14.81470088,Millions $,"Coastal pelagic spp, no squid coastwide",0.09
4,2000,22.03407412,Millions $,"Coastal pelagic spp, no squid coastwide",0.49
4,2001,22.41929952,Millions $,"Coastal pelagic spp, no squid coastwide",0.02
4,2002,21.16665956,Millions $,"Coastal pelagic spp, no squid coastwide",-0.06
4,2003,14.2774973,Millions $,"Coastal pelagic spp, no squid coastwide",-0.33
4,2004,17.84136808,Millions $,"Coastal pelagic spp, no squid coastwide",0.25
4,2005,16.18433781,Millions $,"Coastal pelagic spp, no squid coastwide",-0.09
4,2006,17.96839613,Millions $,"Coastal pelagic spp, no squid coastwide",0.11
4,2007,20.4383269,Millions $,"Coastal pelagic spp, no squid coastwide",0.14
4,2008,22.6315807,Millions $,"Coastal pelagic spp, no squid coastwide",0.11
4,2009,20.10930953,Millions $,"Coastal pelagic spp, no squid coastwide",-0.11
4,2010,16.16582422,Millions $,"Coastal pelagic spp, no squid coastwide",-0.20
4,2011,14.22256594,Millions $,"Coastal pelagic spp, no squid coastwide",-0.12
4,2012,26.86855066,Millions $,"Coastal pelagic spp, no squid coastwide",0.89
4,2013,21.74529044,Millions $,"Coastal pelagic spp, no squid coastwide",-0.19
4,2014,15.21183954,Millions $,"Coastal pelagic spp, no squid coastwide",-0.30
4,2015,5.805178042,Millions $,"Coastal pelagic spp, no squid coastwide",-0.62
4,2016,3.832507829,Millions $,"Coastal pelagic spp, no squid coastwide",-0.34
4,2017,2.527950367,Millions $,"Coastal pelagic spp, no squid coastwide",-0.34
4,2018,4.213490742,Millions $,"Coastal pelagic spp, no squid coastwide",0.67
4,2019,2.999758322,Millions $,"Coastal pelagic spp, no squid coastwide",-0.29
4,2020,1.655624353,Millions $,"Coastal pelagic spp, no squid coastwide",-0.45
5,1981,69.73146523,Millions $,Shrimp coastwide,FALSE
5,1982,49.05965411,Millions $,Shrimp coastwide,-0.30
5,1983,34.42842794,Millions $,Shrimp coastwide,-0.30
5,1984,25.61901834,Millions $,Shrimp coastwide,-0.26
5,1985,32.94176668,Millions $,Shrimp coastwide,0.29
5,1986,79.5731095,Millions $,Shrimp coastwide,1.42
5,1987,113.3358253,Millions $,Shrimp coastwide,0.42
5,1988,70.35471872,Millions $,Shrimp coastwide,-0.38
5,1989,65.27280111,Millions $,Shrimp coastwide,-0.07
5,1990,59.42909263,Millions $,Shrimp coastwide,-0.09
5,1991,51.24121386,Millions $,Shrimp coastwide,-0.14
5,1992,56.28639077,Millions $,Shrimp coastwide,0.10
5,1993,36.73900082,Millions $,Shrimp coastwide,-0.35
5,1994,42.46280057,Millions $,Shrimp coastwide,0.16
5,1995,40.65932927,Millions $,Shrimp coastwide,-0.04
5,1996,42.29104495,Millions $,Shrimp coastwide,0.04
5,1997,39.06830219,Millions $,Shrimp coastwide,-0.08
5,1998,24.00347175,Millions $,Shrimp coastwide,-0.39
5,1999,33.20582455,Millions $,Shrimp coastwide,0.38
5,2000,33.26812278,Millions $,Shrimp coastwide,0.00
5,2001,26.30501956,Millions $,Shrimp coastwide,-0.21
5,2002,32.64129087,Millions $,Shrimp coastwide,0.24
5,2003,17.81012639,Millions $,Shrimp coastwide,-0.45
5,2004,17.12498119,Millions $,Shrimp coastwide,-0.04
5,2005,21.24826608,Millions $,Shrimp coastwide,0.24
5,2006,16.18391876,Millions $,Shrimp coastwide,-0.24
5,2007,22.17241005,Millions $,Shrimp coastwide,0.37
5,2008,30.70455741,Millions $,Shrimp coastwide,0.38
5,2009,20.33327779,Millions $,Shrimp coastwide,-0.34
5,2010,26.04663802,Millions $,Shrimp coastwide,0.28
5,2011,47.53548983,Millions $,Shrimp coastwide,0.83
5,2012,45.75655359,Millions $,Shrimp coastwide,-0.04
5,2013,47.5993252,Millions $,Shrimp coastwide,0.04
5,2014,67.34555792,Millions $,Shrimp coastwide,0.41
5,2015,96.7254902,Millions $,Shrimp coastwide,0.44
5,2016,52.58104757,Millions $,Shrimp coastwide,-0.46
5,2017,31.66677978,Millions $,Shrimp coastwide,-0.40
5,2018,51.2409539,Millions $,Shrimp coastwide,0.62
5,2019,42.01316027,Millions $,Shrimp coastwide,-0.18
5,2020,39.38417758,Millions $,Shrimp coastwide,-0.06
6,1981,129.8715906,Millions $,Highly migratory species coastwide,FALSE
6,1982,66.60413968,Millions $,Highly migratory species coastwide,-0.49
6,1983,155.5916704,Millions $,Highly migratory species coastwide,1.34
6,1984,140.1075062,Millions $,Highly migratory species coastwide,-0.10
6,1985,64.17200857,Millions $,Highly migratory species coastwide,-0.54
6,1986,59.6201088,Millions $,Highly migratory species coastwide,-0.07
6,1987,69.44338857,Millions $,Highly migratory species coastwide,0.16
6,1988,70.30407126,Millions $,Highly migratory species coastwide,0.01
6,1989,37.98268256,Millions $,Highly migratory species coastwide,-0.46
6,1990,37.55338028,Millions $,Highly migratory species coastwide,-0.01
6,1991,32.61332234,Millions $,Highly migratory species coastwide,-0.13
6,1992,47.21389219,Millions $,Highly migratory species coastwide,0.45
6,1993,53.34525469,Millions $,Highly migratory species coastwide,0.13
6,1994,53.15515955,Millions $,Highly migratory species coastwide,0.00
6,1995,37.6356561,Millions $,Highly migratory species coastwide,-0.29
6,1996,68.80896633,Millions $,Highly migratory species coastwide,0.83
6,1997,57.22916751,Millions $,Highly migratory species coastwide,-0.17
6,1998,40.99669734,Millions $,Highly migratory species coastwide,-0.28
6,1999,36.77608907,Millions $,Highly migratory species coastwide,-0.10
6,2000,34.7657645,Millions $,Highly migratory species coastwide,-0.05
6,2001,35.70003668,Millions $,Highly migratory species coastwide,0.03
6,2002,25.0611952,Millions $,Highly migratory species coastwide,-0.30
6,2003,39.91185469,Millions $,Highly migratory species coastwide,0.59
6,2004,41.08246025,Millions $,Highly migratory species coastwide,0.03
6,2005,31.08248946,Millions $,Highly migratory species coastwide,-0.24
6,2006,34.88434883,Millions $,Highly migratory species coastwide,0.12
6,2007,32.28556273,Millions $,Highly migratory species coastwide,-0.07
6,2008,37.97211113,Millions $,Highly migratory species coastwide,0.18
6,2009,36.91620106,Millions $,Highly migratory species coastwide,-0.03
6,2010,36.75633732,Millions $,Highly migratory species coastwide,0.00
6,2011,54.53555733,Millions $,Highly migratory species coastwide,0.48
6,2012,53.48378796,Millions $,Highly migratory species coastwide,-0.02
6,2013,47.93183529,Millions $,Highly migratory species coastwide,-0.10
6,2014,41.34721316,Millions $,Highly migratory species coastwide,-0.14
6,2015,35.0513296,Millions $,Highly migratory species coastwide,-0.15
6,2016,44.89280142,Millions $,Highly migratory species coastwide,0.28
6,2017,41.81513273,Millions $,Highly migratory species coastwide,-0.07
6,2018,30.42898371,Millions $,Highly migratory species coastwide,-0.27
6,2019,30.58414951,Millions $,Highly migratory species coastwide,0.01
6,2020,27.64446577,Millions $,Highly migratory species coastwide,-0.10
7,1981,34.65700556,Millions $,Other species coastwide,FALSE
7,1982,28.95056801,Millions $,Other species coastwide,-0.16
7,1983,29.62796915,Millions $,Other species coastwide,0.02
7,1984,30.29113961,Millions $,Other species coastwide,0.02
7,1985,36.60100353,Millions $,Other species coastwide,0.21
7,1986,51.89248657,Millions $,Other species coastwide,0.42
7,1987,57.06961536,Millions $,Other species coastwide,0.10
7,1988,77.58373572,Millions $,Other species coastwide,0.36
7,1989,87.49875479,Millions $,Other species coastwide,0.13
7,1990,91.09176859,Millions $,Other species coastwide,0.04
7,1991,107.5515706,Millions $,Other species coastwide,0.18
7,1992,94.10593755,Millions $,Other species coastwide,-0.13
7,1993,83.72822409,Millions $,Other species coastwide,-0.11
7,1994,74.32576204,Millions $,Other species coastwide,-0.11
7,1995,67.00076309,Millions $,Other species coastwide,-0.10
7,1996,56.7029616,Millions $,Other species coastwide,-0.15
7,1997,52.1789588,Millions $,Other species coastwide,-0.08
7,1998,34.15930983,Millions $,Other species coastwide,-0.35
7,1999,40.62344571,Millions $,Other species coastwide,0.19
7,2000,44.97205753,Millions $,Other species coastwide,0.11
7,2001,38.41874104,Millions $,Other species coastwide,-0.15
7,2002,36.8022151,Millions $,Other species coastwide,-0.04
7,2003,32.46081749,Millions $,Other species coastwide,-0.12
7,2004,33.75685834,Millions $,Other species coastwide,0.04
7,2005,32.37455199,Millions $,Other species coastwide,-0.04
7,2006,32.02996569,Millions $,Other species coastwide,-0.01
7,2007,30.75668847,Millions $,Other species coastwide,-0.04
7,2008,36.65593067,Millions $,Other species coastwide,0.19
7,2009,34.52265436,Millions $,Other species coastwide,-0.06
7,2010,38.92176191,Millions $,Other species coastwide,0.13
7,2011,48.01107345,Millions $,Other species coastwide,0.23
7,2012,48.62620246,Millions $,Other species coastwide,0.01
7,2013,47.73444956,Millions $,Other species coastwide,-0.02
7,2014,49.53957943,Millions $,Other species coastwide,0.04
7,2015,46.62513126,Millions $,Other species coastwide,-0.06
7,2016,42.80276265,Millions $,Other species coastwide,-0.08
7,2017,42.29242879,Millions $,Other species coastwide,-0.01
7,2018,40.96833327,Millions $,Other species coastwide,-0.03
7,2019,37.38191032,Millions $,Other species coastwide,-0.09
7,2020,32.17173952,Millions $,Other species coastwide,-0.14
8,1981,1.015923604,Millions $,Pacific hake coastwide,FALSE
8,1982,1.41521547,Millions $,Pacific hake coastwide,0.39
8,1983,1.887820881,Millions $,Pacific hake coastwide,0.33
8,1984,1.740438455,Millions $,Pacific hake coastwide,-0.08
8,1985,2.033759051,Millions $,Pacific hake coastwide,0.17
8,1986,1.333466828,Millions $,Pacific hake coastwide,-0.34
8,1987,1.617665947,Millions $,Pacific hake coastwide,0.21
8,1988,2.585610323,Millions $,Pacific hake coastwide,0.60
8,1989,2.273135006,Millions $,Pacific hake coastwide,-0.12
8,1990,2.964420173,Millions $,Pacific hake coastwide,0.30
8,1991,7.45110481,Millions $,Pacific hake coastwide,1.51
8,1992,11.07771345,Millions $,Pacific hake coastwide,0.49
8,1993,5.276531879,Millions $,Pacific hake coastwide,-0.52
8,1994,8.904201466,Millions $,Pacific hake coastwide,0.69
8,1995,13.49849298,Millions $,Pacific hake coastwide,0.52
8,1996,8.616104269,Millions $,Pacific hake coastwide,-0.36
8,1997,35.85743284,Millions $,Pacific hake coastwide,3.16
8,1998,21.95942356,Millions $,Pacific hake coastwide,-0.39
8,1999,30.12283352,Millions $,Pacific hake coastwide,0.37
8,2000,32.17736121,Millions $,Pacific hake coastwide,0.07
8,2001,18.93005628,Millions $,Pacific hake coastwide,-0.41
8,2002,18.62615186,Millions $,Pacific hake coastwide,-0.02
8,2003,19.60922302,Millions $,Pacific hake coastwide,0.05
8,2004,28.19521932,Millions $,Pacific hake coastwide,0.44
8,2005,39.48989595,Millions $,Pacific hake coastwide,0.40
8,2006,44.56696582,Millions $,Pacific hake coastwide,0.13
8,2007,43.79506114,Millions $,Pacific hake coastwide,-0.02
8,2008,76.73246928,Millions $,Pacific hake coastwide,0.75
8,2009,19.86454147,Millions $,Pacific hake coastwide,-0.74
8,2010,35.21152005,Millions $,Pacific hake coastwide,0.77
8,2011,66.46473338,Millions $,Pacific hake coastwide,0.89
8,2012,55.35219494,Millions $,Pacific hake coastwide,-0.17
8,2013,72.67820325,Millions $,Pacific hake coastwide,0.31
8,2014,70.7035597,Millions $,Pacific hake coastwide,-0.03
8,2015,27.82250893,Millions $,Pacific hake coastwide,-0.61
8,2016,51.00622253,Millions $,Pacific hake coastwide,0.83
8,2017,64.20367374,Millions $,Pacific hake coastwide,0.26
8,2018,56.09661581,Millions $,Pacific hake coastwide,-0.13
8,2019,66.2256805,Millions $,Pacific hake coastwide,0.18
8,2020,40.91196321,Millions $,Pacific hake coastwide,-0.38
9,1981,15.05687665,Millions $,Market squid coastwide,FALSE
9,1982,9.80613655,Millions $,Market squid coastwide,-0.35
9,1983,2.210226429,Millions $,Market squid coastwide,-0.77
9,1984,1.27265015,Millions $,Market squid coastwide,-0.42
9,1985,10.47275058,Millions $,Market squid coastwide,7.23
9,1986,10.63564093,Millions $,Market squid coastwide,0.02
9,1987,9.175018601,Millions $,Market squid coastwide,-0.14
9,1988,16.85420816,Millions $,Market squid coastwide,0.84
9,1989,16.00712227,Millions $,Market squid coastwide,-0.05
9,1990,9.57749673,Millions $,Market squid coastwide,-0.40
9,1991,11.6380647,Millions $,Market squid coastwide,0.22
9,1992,4.569389061,Millions $,Market squid coastwide,-0.61
9,1993,18.62598246,Millions $,Market squid coastwide,3.08
9,1994,25.36861781,Millions $,Market squid coastwide,0.36
9,1995,38.37346859,Millions $,Market squid coastwide,0.51
9,1996,36.58346161,Millions $,Market squid coastwide,-0.05
9,1997,33.56484182,Millions $,Market squid coastwide,-0.08
9,1998,2.597853223,Millions $,Market squid coastwide,-0.92
9,1999,51.57442213,Millions $,Market squid coastwide,18.85
9,2000,41.42174167,Millions $,Market squid coastwide,-0.20
9,2001,24.98949749,Millions $,Market squid coastwide,-0.40
9,2002,26.58614882,Millions $,Market squid coastwide,0.06
9,2003,36.03854658,Millions $,Market squid coastwide,0.36
9,2004,28.14262717,Millions $,Market squid coastwide,-0.22
9,2005,42.57202557,Millions $,Market squid coastwide,0.51
9,2006,35.07764838,Millions $,Market squid coastwide,-0.18
9,2007,37.08213484,Millions $,Market squid coastwide,0.06
9,2008,32.33408567,Millions $,Market squid coastwide,-0.13
9,2009,69.48682955,Millions $,Market squid coastwide,1.15
9,2010,84.7166654,Millions $,Market squid coastwide,0.22
9,2011,77.92064022,Millions $,Market squid coastwide,-0.08
9,2012,72.73464314,Millions $,Market squid coastwide,-0.07
9,2013,82.59559047,Millions $,Market squid coastwide,0.14
9,2014,80.40080129,Millions $,Market squid coastwide,-0.03
9,2015,26.99148469,Millions $,Market squid coastwide,-0.66
9,2016,43.84128646,Millions $,Market squid coastwide,0.62
9,2017,72.98384293,Millions $,Market squid coastwide,0.66
9,2018,40.42443406,Millions $,Market squid coastwide,-0.45
9,2019,16.77979567,Millions $,Market squid coastwide,-0.58
9,2020,32.10643906,Millions $,Market squid coastwide,0.91
10,1981,29.9409083,Millions $,Crab coastwide,FALSE
10,1982,66.13578946,Millions $,Crab coastwide,1.21
10,1983,52.44358166,Millions $,Crab coastwide,-0.21
10,1984,70.30093793,Millions $,Crab coastwide,0.34
10,1985,58.69182981,Millions $,Crab coastwide,-0.17
10,1986,63.98254331,Millions $,Crab coastwide,0.09
10,1987,63.99330131,Millions $,Crab coastwide,0.00
10,1988,99.47635007,Millions $,Crab coastwide,0.55
10,1989,110.7068584,Millions $,Crab coastwide,0.11
10,1990,70.36125821,Millions $,Crab coastwide,-0.36
10,1991,90.4832004,Millions $,Crab coastwide,0.29
10,1992,67.43607587,Millions $,Crab coastwide,-0.25
10,1993,74.67956246,Millions $,Crab coastwide,0.11
10,1994,89.01753009,Millions $,Crab coastwide,0.19
10,1995,150.6327817,Millions $,Crab coastwide,0.69
10,1996,124.2242946,Millions $,Crab coastwide,-0.18
10,1997,88.39578636,Millions $,Crab coastwide,-0.29
10,1998,101.1300725,Millions $,Crab coastwide,0.14
10,1999,102.8292249,Millions $,Crab coastwide,0.02
10,2000,152.6955366,Millions $,Crab coastwide,0.48
10,2001,93.08561386,Millions $,Crab coastwide,-0.39
10,2002,100.1760595,Millions $,Crab coastwide,0.08
10,2003,138.9247381,Millions $,Crab coastwide,0.39
10,2004,169.3055154,Millions $,Crab coastwide,0.22
10,2005,191.4362305,Millions $,Crab coastwide,0.13
10,2006,166.3853362,Millions $,Crab coastwide,-0.13
10,2007,144.9242051,Millions $,Crab coastwide,-0.13
10,2008,137.1661441,Millions $,Crab coastwide,-0.05
10,2009,103.1667642,Millions $,Crab coastwide,-0.25
10,2010,167.8368425,Millions $,Crab coastwide,0.63
10,2011,227.7323921,Millions $,Crab coastwide,0.36
10,2012,229.9719015,Millions $,Crab coastwide,0.01
10,2013,226.5562151,Millions $,Crab coastwide,-0.01
10,2014,210.1000496,Millions $,Crab coastwide,-0.07
10,2015,194.0044381,Millions $,Crab coastwide,-0.08
10,2016,202.1875348,Millions $,Crab coastwide,0.04
10,2017,252.2818375,Millions $,Crab coastwide,0.25
10,2018,252.6161625,Millions $,Crab coastwide,0.00
10,2019,211.559034,Millions $,Crab coastwide,-0.16
10,2020,183.0118997,Millions $,Crab coastwide,-0.13
11,1981,361.7321861,Millions $,Commercial fisheries CA,FALSE
11,1982,353.9333295,Millions $,Commercial fisheries CA,-0.02
11,1983,346.2291575,Millions $,Commercial fisheries CA,-0.02
11,1984,320.9360966,Millions $,Commercial fisheries CA,-0.07
11,1985,271.7394318,Millions $,Commercial fisheries CA,-0.15
11,1986,282.9430569,Millions $,Commercial fisheries CA,0.04
11,1987,342.7364615,Millions $,Commercial fisheries CA,0.21
11,1988,374.8400729,Millions $,Commercial fisheries CA,0.09
11,1989,291.3210267,Millions $,Commercial fisheries CA,-0.22
11,1990,266.4744729,Millions $,Commercial fisheries CA,-0.09
11,1991,285.067313,Millions $,Commercial fisheries CA,0.07
11,1992,246.8048802,Millions $,Commercial fisheries CA,-0.13
11,1993,223.8640931,Millions $,Commercial fisheries CA,-0.09
11,1994,223.5296605,Millions $,Commercial fisheries CA,0.00
11,1995,277.2038484,Millions $,Commercial fisheries CA,0.24
11,1996,286.7257071,Millions $,Commercial fisheries CA,0.03
11,1997,254.5092026,Millions $,Commercial fisheries CA,-0.11
11,1998,152.4070529,Millions $,Commercial fisheries CA,-0.40
11,1999,210.7544132,Millions $,Commercial fisheries CA,0.38
11,2000,200.5132246,Millions $,Commercial fisheries CA,-0.05
11,2001,148.2543703,Millions $,Commercial fisheries CA,-0.26
11,2002,137.7129467,Millions $,Commercial fisheries CA,-0.07
11,2003,157.5707297,Millions $,Commercial fisheries CA,0.14
11,2004,172.4436648,Millions $,Commercial fisheries CA,0.09
11,2005,174.9982123,Millions $,Commercial fisheries CA,0.01
11,2006,161.4941,Millions $,Commercial fisheries CA,-0.08
11,2007,157.3971757,Millions $,Commercial fisheries CA,-0.03
11,2008,138.2415666,Millions $,Commercial fisheries CA,-0.12
11,2009,164.0981283,Millions $,Commercial fisheries CA,0.19
11,2010,201.8613879,Millions $,Commercial fisheries CA,0.23
11,2011,240.6581686,Millions $,Commercial fisheries CA,0.19
11,2012,273.7541876,Millions $,Commercial fisheries CA,0.14
11,2013,263.591236,Millions $,Commercial fisheries CA,-0.04
11,2014,252.9607559,Millions $,Commercial fisheries CA,-0.04
11,2015,184.5021212,Millions $,Commercial fisheries CA,-0.27
11,2016,162.8535721,Millions $,Commercial fisheries CA,-0.12
