year,index,sd.w,n,SDup,SDlo,se,SEup,SElo,CLup,CLlo,timeseries,metric
1990,0.950056436,1.858362446,80,2.808418882,-0.90830601,0.207771238,1.157827674,0.742285198,,,Adult anchovy,mean (ln catch+1)
1991,0,0,93,0,0,0,0,0,,,Adult anchovy,mean (ln catch+1)
1992,1.046233349,1.913872174,73,2.960105523,-0.867638825,0.224001795,1.270235144,0.822231554,,,Adult anchovy,mean (ln catch+1)
1993,0.357387854,1.196948294,75,1.554336148,-0.83956044,0.138211684,0.495599538,0.21917617,,,Adult anchovy,mean (ln catch+1)
1994,0.479999582,1.6343794,75,2.114378982,-1.154379818,0.188721877,0.668721459,0.291277705,,,Adult anchovy,mean (ln catch+1)
1995,1.502783379,2.668893044,74,4.171676423,-1.166109665,0.310252514,1.813035893,1.192530865,,,Adult anchovy,mean (ln catch+1)
1996,0.329828354,0.923003047,76,1.252831401,-0.593174693,0.105875711,0.435704065,0.223952643,,,Adult anchovy,mean (ln catch+1)
1997,0.654250013,1.665088809,74,2.319338822,-1.010838796,0.193562642,0.847812655,0.460687371,,,Adult anchovy,mean (ln catch+1)
1998,0.970957079,1.910023084,79,2.880980163,-0.939066005,0.214894386,1.185851465,0.756062693,,,Adult anchovy,mean (ln catch+1)
1999,1.065744671,1.95451167,77,3.020256341,-0.888766999,0.222737277,1.288481948,0.843007394,,,Adult anchovy,mean (ln catch+1)
2000,0.296676135,1.12654124,87,1.423217375,-0.829865105,0.120777898,0.417454033,0.175898237,,,Adult anchovy,mean (ln catch+1)
2001,0.283526742,0.863983631,80,1.147510373,-0.580456889,0.096596307,0.380123049,0.186930435,,,Adult anchovy,mean (ln catch+1)
2002,0.053485357,0.219611853,67,0.27309721,-0.166126496,0.026829858,0.080315215,0.026655499,,,Adult anchovy,mean (ln catch+1)
2003,0.190663511,0.603504306,88,0.794167817,-0.412840795,0.064333775,0.254997286,0.126329736,,,Adult anchovy,mean (ln catch+1)
2004,1.522751068,2.013377133,80,3.536128201,-0.490626065,0.225102407,1.747853475,1.297648661,,,Adult anchovy,mean (ln catch+1)
2005,1.903020155,1.987469582,75,3.890489737,-0.084449427,0.22949322,2.132513375,1.673526935,,,Adult anchovy,mean (ln catch+1)
2006,1.873273302,1.9288381,67,3.802111402,-0.055564798,0.235645079,2.108918381,1.637628223,,,Adult anchovy,mean (ln catch+1)
2007,0.757632129,1.838642289,86,2.596274418,-1.08101016,0.198265897,0.955898026,0.559366232,,,Adult anchovy,mean (ln catch+1)
2008,0.069775306,0.301562588,33,0.371337894,-0.231787282,0.052495308,0.122270614,0.017279998,,,Adult anchovy,mean (ln catch+1)
2009,0.06539228,0.294270366,76,0.359662646,-0.228878086,0.033755126,0.099147406,0.031637154,,,Adult anchovy,mean (ln catch+1)
2010,0.01754803,0.109578405,79,0.127126435,-0.092030375,0.012328534,0.029876564,0.005219496,,,Adult anchovy,mean (ln catch+1)
2011,0.014440566,0.100047178,48,0.114487744,-0.085606612,0.014440566,0.028881132,-2.87491E-10,,,Adult anchovy,mean (ln catch+1)
2012,0,0,61,0,0,0,0,0,,,Adult anchovy,mean (ln catch+1)
2013,0.134057636,0.620258648,61,0.754316284,-0.486201012,0.079415982,0.213473618,0.054641654,,,Adult anchovy,mean (ln catch+1)
2014,0.076641551,0.412366563,69,0.489008114,-0.335725012,0.0496431,0.126284651,0.026998451,,,Adult anchovy,mean (ln catch+1)
2015,0.016645641,0.135229825,66,0.151875466,-0.118584184,0.016645641,0.033291282,2.15876E-10,,,Adult anchovy,mean (ln catch+1)
2016,0,0,60,0,0,0,0,0,,,Adult anchovy,mean (ln catch+1)
2017,0.077513508,0.313247742,41,0.39076125,-0.235734234,0.048921078,0.126434586,0.02859243,,,Adult anchovy,mean (ln catch+1)
2018,2.446547724,2.984234879,53,5.430782603,-0.537687155,0.409916186,2.85646391,2.036631538,,,Adult anchovy,mean (ln catch+1)
2019,4.860525779,2.697093953,47,7.557619733,2.163431826,0.393411587,5.253937366,4.467114193,,,Adult anchovy,mean (ln catch+1)
1990,0,0,80,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
1991,0,0,93,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
1992,0,0,73,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
1993,0,0,75,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
1994,0,0,75,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
1995,0.031116015,0.202690672,74,0.233806687,-0.171574657,0.023562312,0.054678327,0.007553703,,,YOY sardine,mean (ln catch+1)
1996,0,0,76,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
1997,0.009366854,0.080576723,74,0.089943577,-0.071209869,0.009366854,0.018733708,2.13535E-10,,,YOY sardine,mean (ln catch+1)
1998,0.419267898,0.866128323,79,1.285396221,-0.446860425,0.09744705,0.516714948,0.321820848,,,YOY sardine,mean (ln catch+1)
1999,0.009001911,0.078991452,77,0.087993363,-0.069989541,0.009001911,0.018003822,-4.05304E-10,,,YOY sardine,mean (ln catch+1)
2000,0,0,87,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2001,0,0,80,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2002,0,0,67,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2003,0,0,88,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2004,0,0,80,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2005,0,0,75,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2006,0,0,67,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2007,0,0,86,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2008,0,0,33,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2009,0.03269614,0.219381195,76,0.252077335,-0.186685055,0.025164749,0.057860889,0.007531391,,,YOY sardine,mean (ln catch+1)
2010,0.008774015,0.077985151,79,0.086759166,-0.069211136,0.008774015,0.01754803,1.58011E-11,,,YOY sardine,mean (ln catch+1)
2011,0,0,48,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2012,0,0,61,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2013,0,0,61,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2014,0,0,69,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2015,0.996496542,1.248945214,66,2.245441756,-0.252448672,0.153734529,1.150231071,0.842762013,,,YOY sardine,mean (ln catch+1)
2016,0.103709604,0.344360925,60,0.448070529,-0.240651321,0.044456804,0.148166408,0.0592528,,,YOY sardine,mean (ln catch+1)
2017,0,0,41,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
2018,0.483619355,0.758676652,53,1.242296007,-0.275057297,0.104212253,0.587831608,0.379407102,,,YOY sardine,mean (ln catch+1)
2019,0,0,47,0,0,0,0,0,,,YOY sardine,mean (ln catch+1)
1990,0.00866434,0.077496211,80,0.086160551,-0.068831871,0.00866434,0.01732868,2.10267E-10,,,Adult sardine,mean (ln catch+1)
1991,0.034172622,0.195064415,93,0.229237037,-0.160891793,0.020227238,0.05439986,0.013945384,,,Adult sardine,mean (ln catch+1)
1992,0.037980667,0.196405664,73,0.234386331,-0.158424997,0.022987544,0.060968211,0.014993123,,,Adult sardine,mean (ln catch+1)
1993,0.027725887,0.240113227,75,0.267839114,-0.21238734,0.027725887,0.055451774,-2.48888E-10,,,Adult sardine,mean (ln catch+1)
1994,0.109733924,0.557081637,75,0.666815561,-0.447347713,0.064326247,0.174060171,0.045407677,,,Adult sardine,mean (ln catch+1)
1995,0.519049653,1.305655597,74,1.82470525,-0.786605944,0.15177938,0.670829033,0.367270273,,,Adult sardine,mean (ln catch+1)
1996,0.153118651,0.751648833,76,0.904767484,-0.598530182,0.086220034,0.239338685,0.066898617,,,Adult sardine,mean (ln catch+1)
1997,0.520708185,1.118237103,74,1.638945288,-0.597528918,0.129992423,0.650700608,0.390715762,,,Adult sardine,mean (ln catch+1)
1998,0.813035531,1.499306882,79,2.312342413,-0.686271351,0.168685203,0.981720734,0.644350328,,,Adult sardine,mean (ln catch+1)
1999,0.218942604,0.813847455,77,1.032790059,-0.594904851,0.092746525,0.311689129,0.126196079,,,Adult sardine,mean (ln catch+1)
2000,0.20402974,0.779374428,87,0.983404168,-0.575344688,0.083557709,0.287587449,0.120472031,,,Adult sardine,mean (ln catch+1)
2001,0.347929398,0.871085526,80,1.219014924,-0.523156128,0.097390323,0.445319721,0.250539075,,,Adult sardine,mean (ln catch+1)
2002,0.11888874,0.449927548,67,0.568816288,-0.331038808,0.054967399,0.173856139,0.063921341,,,Adult sardine,mean (ln catch+1)
2003,0.070297825,0.264364795,88,0.33466262,-0.19406697,0.028181382,0.098479207,0.042116443,,,Adult sardine,mean (ln catch+1)
2004,0.352719066,0.821459369,80,1.174178435,-0.468740303,0.091841949,0.444561015,0.260877117,,,Adult sardine,mean (ln catch+1)
2005,0.903202528,1.19482594,75,2.098028468,-0.291623412,0.137966616,1.041169144,0.765235912,,,Adult sardine,mean (ln catch+1)
2006,0.559746741,1.126109369,67,1.68585611,-0.566362628,0.137576156,0.697322897,0.422170585,,,Adult sardine,mean (ln catch+1)
2007,0.717340678,1.270702676,86,1.988043354,-0.553361998,0.137023393,0.854364071,0.580317285,,,Adult sardine,mean (ln catch+1)
2008,0.770478417,1.11861466,33,1.889093077,-0.348136243,0.194725818,0.965204235,0.575752599,,,Adult sardine,mean (ln catch+1)
2009,0.186207292,0.624994208,76,0.8112015,-0.438786916,0.071691752,0.257899044,0.11451554,,,Adult sardine,mean (ln catch+1)
2010,0,0,79,0,0,0,0,0,,,Adult sardine,mean (ln catch+1)
2011,0,0,48,0,0,0,0,0,,,Adult sardine,mean (ln catch+1)
2012,0.045452274,0.279240329,61,0.324692603,-0.233788055,0.03575306,0.081205334,0.009699214,,,Adult sardine,mean (ln catch+1)
2013,0.011363069,0.088748402,61,0.100111471,-0.077385333,0.011363068,0.022726137,5.0889E-10,,,Adult sardine,mean (ln catch+1)
2014,0.03601314,0.174826204,69,0.210839344,-0.138813064,0.021046602,0.057059742,0.014966538,,,Adult sardine,mean (ln catch+1)
2015,0,0,66,0,0,0,0,0,,,Adult sardine,mean (ln catch+1)
2016,0,0,60,0,0,0,0,0,,,Adult sardine,mean (ln catch+1)
2017,0,0,41,0,0,0,0,0,,,Adult sardine,mean (ln catch+1)
2018,0.142692099,0.601576371,53,0.74426847,-0.458884272,0.08263287,0.225324969,0.060059229,,,Adult sardine,mean (ln catch+1)
2019,0.8200955,1.189501948,47,2.009597448,-0.369406448,0.173506692,0.993602192,0.646588809,,,Adult sardine,mean (ln catch+1)
1990,1.303879089,1.370135834,80,2.674014923,-0.066256745,0.153185843,1.457064932,1.150693246,,,YOY rockfish,mean (ln catch+1)
1991,2.349357289,1.354424017,93,3.703781306,0.994933272,0.140447228,2.489804517,2.208910061,,,YOY rockfish,mean (ln catch+1)
1992,1.411380186,1.752524764,73,3.16390495,-0.341144578,0.205117509,1.616497695,1.206262677,,,YOY rockfish,mean (ln catch+1)
1993,3.058798548,1.630172512,75,4.68897106,1.428626036,0.188236108,3.247034656,2.87056244,,,YOY rockfish,mean (ln catch+1)
1994,1.266363635,1.266020974,75,2.532384609,0.000342661,0.14618751,1.412551145,1.120176125,,,YOY rockfish,mean (ln catch+1)
1995,0.926030899,1.039739781,74,1.96577068,-0.113708882,0.120867294,1.046898193,0.805163605,,,YOY rockfish,mean (ln catch+1)
1996,1.917508782,1.433665045,76,3.351173827,0.483843737,0.164452659,2.081961441,1.753056123,,,YOY rockfish,mean (ln catch+1)
1997,1.648786559,1.395982337,74,3.044768896,0.252804222,0.16227965,1.811066209,1.486506909,,,YOY rockfish,mean (ln catch+1)
1998,0.461796004,0.705340152,79,1.167136156,-0.243544148,0.079356967,0.541152971,0.382439037,,,YOY rockfish,mean (ln catch+1)
1999,0.987291718,1.021598828,77,2.008890546,-0.03430711,0.116421991,1.103713709,0.870869727,,,YOY rockfish,mean (ln catch+1)
2000,2.09006785,1.468295041,87,3.558362891,0.621772809,0.157417752,2.247485602,1.932650098,,,YOY rockfish,mean (ln catch+1)
2001,2.837110967,1.346676088,80,4.183787055,1.490434879,0.150562964,2.987673931,2.686548003,,,YOY rockfish,mean (ln catch+1)
2002,2.854298373,1.379096031,67,4.233394404,1.475202342,0.168483396,3.022781769,2.685814977,,,YOY rockfish,mean (ln catch+1)
2003,1.640823283,1.100225765,88,2.741049048,0.540597518,0.117284461,1.758107744,1.523538822,,,YOY rockfish,mean (ln catch+1)
2004,2.378465639,1.379239163,80,3.757704802,0.999226476,0.154203626,2.532669265,2.224262013,,,YOY rockfish,mean (ln catch+1)
2005,0.292300743,0.527887082,75,0.820187825,-0.235586339,0.06095515,0.353255893,0.231345593,,,YOY rockfish,mean (ln catch+1)
2006,0.384603566,0.661716874,67,1.04632044,-0.277113308,0.080841583,0.465445149,0.303761983,,,YOY rockfish,mean (ln catch+1)
2007,0.828670321,0.923409643,86,1.752079964,-0.094739322,0.099573823,0.928244144,0.729096498,,,YOY rockfish,mean (ln catch+1)
2008,1.361725545,0.939544202,33,2.301269747,0.422181343,0.163553652,1.525279197,1.198171893,,,YOY rockfish,mean (ln catch+1)
2009,2.089544729,1.34662819,76,3.436172919,0.742916539,0.154468847,2.244013576,1.935075882,,,YOY rockfish,mean (ln catch+1)
2010,1.981791446,1.230090016,79,3.211881462,0.75170143,0.138395939,2.120187385,1.843395507,,,YOY rockfish,mean (ln catch+1)
2011,2.412561668,1.481045295,48,3.893606963,0.931516373,0.213770475,2.626332143,2.198791193,,,YOY rockfish,mean (ln catch+1)
2012,0.946763836,1.259948826,61,2.206712662,-0.31318499,0.161319917,1.108083753,0.785443919,,,YOY rockfish,mean (ln catch+1)
2013,4.477308299,2.353565524,61,6.830873823,2.123742775,0.301343186,4.778651485,4.175965113,,,YOY rockfish,mean (ln catch+1)
2014,3.56582339,1.109333208,69,4.675156598,2.456490182,0.133548025,3.699371415,3.432275365,,,YOY rockfish,mean (ln catch+1)
2015,4.70926564,1.634296574,66,6.343562214,3.074969066,0.201168002,4.910433642,4.508097638,,,YOY rockfish,mean (ln catch+1)
2016,4.113496577,1.896880921,60,6.010377498,2.216615656,0.244886274,4.358382851,3.868610303,,,YOY rockfish,mean (ln catch+1)
2017,2.951493242,1.826504081,41,4.777997323,1.124989161,0.285252013,3.236745255,2.666241229,,,YOY rockfish,mean (ln catch+1)
2018,1.908173572,1.330228029,53,3.238401601,0.577945543,0.182720872,2.090894444,1.7254527,,,YOY rockfish,mean (ln catch+1)
2019,0.430750073,0.609242896,47,1.039992969,-0.178492823,0.08886721,0.519617283,0.341882863,,,YOY rockfish,mean (ln catch+1)
1990,1.642577091,1.40186156,80,3.044438651,0.240715531,0.156732887,1.799309978,1.485844204,,,YOY sanddabs,mean (ln catch+1)
1991,2.746371584,1.311525945,93,4.057897529,1.434845639,0.135998905,2.882370489,2.610372679,,,YOY sanddabs,mean (ln catch+1)
1992,1.210358871,1.346224466,73,2.556583337,-0.135865595,0.157563656,1.367922527,1.052795215,,,YOY sanddabs,mean (ln catch+1)
1993,2.552222794,1.815174331,75,4.367397125,0.737048463,0.209598278,2.761821072,2.342624516,,,YOY sanddabs,mean (ln catch+1)
1994,2.939319543,1.34235117,75,4.281670713,1.596968373,0.155001362,3.094320905,2.784318181,,,YOY sanddabs,mean (ln catch+1)
1995,1.558000176,1.10436602,74,2.662366196,0.453634156,0.128379942,1.686380118,1.429620234,,,YOY sanddabs,mean (ln catch+1)
1996,2.64475756,1.311228615,76,3.955986175,1.333528945,0.150408237,2.795165797,2.494349323,,,YOY sanddabs,mean (ln catch+1)
1997,1.251148291,1.394894952,74,2.646043243,-0.143746661,0.162153244,1.413301535,1.088995047,,,YOY sanddabs,mean (ln catch+1)
1998,0.189636626,0.390029256,79,0.579665882,-0.20039263,0.04388172,0.233518346,0.145754906,,,YOY sanddabs,mean (ln catch+1)
1999,1.903419281,1.165718665,77,3.069137946,0.737700616,0.132845971,2.036265252,1.77057331,,,YOY sanddabs,mean (ln catch+1)
2000,1.308999889,1.285556449,87,2.594556338,0.02344344,0.137826118,1.446826007,1.171173771,,,YOY sanddabs,mean (ln catch+1)
2001,2.712875611,1.437396927,80,4.150272538,1.275478684,0.160705862,2.873581473,2.552169749,,,YOY sanddabs,mean (ln catch+1)
2002,3.314585146,1.344107394,67,4.65869254,1.970477752,0.164208853,3.478793999,3.150376293,,,YOY sanddabs,mean (ln catch+1)
2003,1.631050953,1.069272576,88,2.700323529,0.561778377,0.11398484,1.745035793,1.517066113,,,YOY sanddabs,mean (ln catch+1)
2004,1.877849813,1.080434436,80,2.958284249,0.797415377,0.120796242,1.998646055,1.757053571,,,YOY sanddabs,mean (ln catch+1)
2005,0.841510454,0.787264997,75,1.628775451,0.054245457,0.090905532,0.932415986,0.750604922,,,YOY sanddabs,mean (ln catch+1)
2006,0.535484831,0.619768428,67,1.155253259,-0.084283597,0.075716764,0.611201595,0.459768067,,,YOY sanddabs,mean (ln catch+1)
2007,0.699350178,0.795306927,86,1.494657105,-0.095956749,0.085760151,0.785110329,0.613590027,,,YOY sanddabs,mean (ln catch+1)
2008,0.768826442,0.91947741,33,1.688303852,-0.150650968,0.160060472,0.928886914,0.60876597,,,YOY sanddabs,mean (ln catch+1)
2009,1.013910055,0.866244961,76,1.880155016,0.147665094,0.099365112,1.113275167,0.914544943,,,YOY sanddabs,mean (ln catch+1)
2010,2.538637779,1.097213815,79,3.635851594,1.441423964,0.123446199,2.662083978,2.41519158,,,YOY sanddabs,mean (ln catch+1)
2011,2.981924018,1.231699035,48,4.213623053,1.750224983,0.177780442,3.15970446,2.804143576,,,YOY sanddabs,mean (ln catch+1)
2012,2.51962537,1.638494328,61,4.158119698,0.881131042,0.209787702,2.729413072,2.309837668,,,YOY sanddabs,mean (ln catch+1)
2013,4.402443955,1.475718328,61,5.878162283,2.926725627,0.18894637,4.591390325,4.213497585,,,YOY sanddabs,mean (ln catch+1)
2014,4.226935256,1.448303773,69,5.675239029,2.778631483,0.174355285,4.401290541,4.052579971,,,YOY sanddabs,mean (ln catch+1)
2015,4.64744695,1.690552654,66,6.337999604,2.956894296,0.208092647,4.855539597,4.439354303,,,YOY sanddabs,mean (ln catch+1)
2016,2.674939508,1.530761408,60,4.205700916,1.1441781,0.197620448,2.872559956,2.47731906,,,YOY sanddabs,mean (ln catch+1)
2017,1.891312614,1.149145008,41,3.040457622,0.742167606,0.179466299,2.070778913,1.711846315,,,YOY sanddabs,mean (ln catch+1)
2018,2.527654897,1.411768723,53,3.93942362,1.115886174,0.193921348,2.721576245,2.333733549,,,YOY sanddabs,mean (ln catch+1)
2019,0.479741245,0.729314926,47,1.209056171,-0.249573681,0.106381515,0.58612276,0.37335973,,,YOY sanddabs,mean (ln catch+1)
1990,1.48067577,1.99398041,80,3.47465618,-0.51330464,0.222933787,1.703609557,1.257741983,,,YOY Pacific hake,mean (ln catch+1)
1991,2.078001153,1.844788125,93,3.922789278,0.233213028,0.191295617,2.26929677,1.886705536,,,YOY Pacific hake,mean (ln catch+1)
1992,1.082644197,1.49157635,73,2.574220547,-0.408932153,0.174575807,1.257220004,0.90806839,,,YOY Pacific hake,mean (ln catch+1)
1993,3.616939089,2.998075777,75,6.615014866,0.618863312,0.346187971,3.96312706,3.270751118,,,YOY Pacific hake,mean (ln catch+1)
1994,2.375155891,1.924175226,75,4.299331117,0.450980665,0.222184617,2.597340508,2.152971274,,,YOY Pacific hake,mean (ln catch+1)
1995,0.895606804,1.200566826,74,2.09617363,-0.304960022,0.139563059,1.035169863,0.756043745,,,YOY Pacific hake,mean (ln catch+1)
1996,2.284378756,2.033157438,76,4.317536194,0.251221318,0.233219153,2.517597909,2.051159603,,,YOY Pacific hake,mean (ln catch+1)
1997,1.761663894,2.021045712,74,3.782709606,-0.259381818,0.234941792,1.996605686,1.526722102,,,YOY Pacific hake,mean (ln catch+1)
1998,0.720015467,1.257075501,79,1.977090968,-0.537060034,0.141432044,0.861447511,0.578583423,,,YOY Pacific hake,mean (ln catch+1)
1999,2.291800689,2.253905592,77,4.545706281,0.037895097,0.256856381,2.54865707,2.034944308,,,YOY Pacific hake,mean (ln catch+1)
2000,2.582449575,1.815608179,87,4.398057754,0.766841396,0.194653629,2.777103204,2.387795946,,,YOY Pacific hake,mean (ln catch+1)
2001,2.625295632,1.948561673,80,4.573857305,0.676733959,0.217855818,2.84315145,2.407439814,,,YOY Pacific hake,mean (ln catch+1)
2002,1.96794106,2.044941929,67,4.012882989,-0.077000869,0.249829419,2.217770479,1.718111641,,,YOY Pacific hake,mean (ln catch+1)
2003,1.062240596,1.577252284,88,2.63949288,-0.515011688,0.168135658,1.230376254,0.894104938,,,YOY Pacific hake,mean (ln catch+1)
2004,3.245703798,2.587214086,80,5.832917884,0.658489712,0.289259328,3.534963126,2.95644447,,,YOY Pacific hake,mean (ln catch+1)
2005,0.20560354,0.495944619,75,0.701548159,-0.290341079,0.057266752,0.262870292,0.148336788,,,YOY Pacific hake,mean (ln catch+1)
2006,0.222108493,0.544859596,67,0.766968089,-0.322751103,0.066565194,0.288673687,0.155543299,,,YOY Pacific hake,mean (ln catch+1)
2007,0.698996753,1.120415608,86,1.819412361,-0.421418855,0.120817522,0.819814275,0.578179231,,,YOY Pacific hake,mean (ln catch+1)
2008,1.582641611,1.549909699,33,3.13255131,0.032731912,0.269804647,1.852446258,1.312836964,,,YOY Pacific hake,mean (ln catch+1)
2009,1.472891844,1.836745701,76,3.309637545,-0.363853857,0.210689181,1.683581025,1.262202663,,,YOY Pacific hake,mean (ln catch+1)
2010,2.025158334,1.871774446,79,3.89693278,0.153383888,0.210591078,2.235749412,1.814567256,,,YOY Pacific hake,mean (ln catch+1)
2011,1.64206931,1.452766412,48,3.094835722,0.189302898,0.20968877,1.85175808,1.43238054,,,YOY Pacific hake,mean (ln catch+1)
2012,1.093796418,1.676324763,61,2.770121181,-0.582528345,0.214631392,1.30842781,0.879165026,,,YOY Pacific hake,mean (ln catch+1)
2013,2.429631483,2.221821352,61,4.651452835,0.207810131,0.284475074,2.714106557,2.145156409,,,YOY Pacific hake,mean (ln catch+1)
2014,1.196203191,1.397491509,69,2.5936947,-0.201288318,0.168238207,1.364441398,1.027964984,,,YOY Pacific hake,mean (ln catch+1)
2015,2.922793794,2.307633348,66,5.230427142,0.615160446,0.284050029,3.206843823,2.638743765,,,YOY Pacific hake,mean (ln catch+1)
2016,3.362112211,3.109457084,60,6.471569295,0.252655127,0.401429183,3.763541394,2.960683028,,,YOY Pacific hake,mean (ln catch+1)
2017,1.969549069,2.381118971,41,4.35066804,-0.411569902,0.371868307,2.341417376,1.597680762,,,YOY Pacific hake,mean (ln catch+1)
2018,2.061312162,2.447431,53,4.508743162,-0.386118838,0.336180502,2.397492664,1.72513166,,,YOY Pacific hake,mean (ln catch+1)
2019,0.897967807,1.708960097,47,2.606927904,-0.81099229,0.24927745,1.147245257,0.648690357,,,YOY Pacific hake,mean (ln catch+1)
1990,1.572846204,2.466303811,80,4.039150015,-0.893457607,0.275741149,1.848587353,1.297105055,,,Myctophids,mean (ln catch+1)
1991,0.967925416,1.754850009,93,2.722775425,-0.786924593,0.181969469,1.149894885,0.785955947,,,Myctophids,mean (ln catch+1)
1992,2.025712015,2.860000969,73,4.885712984,-0.834288954,0.334737794,2.360449809,1.690974221,,,Myctophids,mean (ln catch+1)
1993,1.976844313,2.766356549,75,4.743200862,-0.789512236,0.31943134,2.296275653,1.657412973,,,Myctophids,mean (ln catch+1)
1994,1.504912241,2.484505053,75,3.989417294,-0.979592812,0.286885932,1.791798173,1.218026309,,,Myctophids,mean (ln catch+1)
1995,1.39990639,2.17047715,74,3.57038354,-0.77057076,0.252312844,1.652219234,1.147593546,,,Myctophids,mean (ln catch+1)
1996,1.899023013,2.790361136,76,4.689384149,-0.891338123,0.320076374,2.219099387,1.578946639,,,Myctophids,mean (ln catch+1)
