Year,index,sd,SE,metric,timeseries,data.type,data.type2,SElo,SEup,Notes,SE_type
2008,82151.56288,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,46289,128090,,CI
2009,89414.18928,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,52065,137741,,CI
2010,93840.14909,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,55064,144538,,CI
2011,84313.40925,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,47902,133264,,CI
2012,75298.51664,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,42905,120758,,CI
2013,67755.24244,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,38505,109447,,CI
2014,64642.87381,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,37284,103169,,CI
2015,64488.2191,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,38098,101075,,CI
2016,65691.57195,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,37862,102604,,CI
2017,68166.45009,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,38784,106038,,CI
2018,65924.63418,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,36525,103819,,CI
2019,63293.33405,,,Spawning biomass (mt),Bigeye tuna,biomass,pessimistic,34690,100345,,CI
2000,25361,,,Recuitment,Bigeye tuna,recruitment,optimistic,17645,35741,,CI
2001,43620,,,Recuitment,Bigeye tuna,recruitment,optimistic,25872,67403,,CI
2002,56301,,,Recuitment,Bigeye tuna,recruitment,optimistic,37520,82651,,CI
2003,39857,,,Recuitment,Bigeye tuna,recruitment,optimistic,22002,64264,,CI
2004,40032,,,Recuitment,Bigeye tuna,recruitment,optimistic,27379,56167,,CI
2005,62830,,,Recuitment,Bigeye tuna,recruitment,optimistic,42846,90209,,CI
2006,54162,,,Recuitment,Bigeye tuna,recruitment,optimistic,36414,78533,,CI
2007,27674,,,Recuitment,Bigeye tuna,recruitment,optimistic,18901,39072,,CI
2008,43851,,,Recuitment,Bigeye tuna,recruitment,optimistic,29835,62480,,CI
2009,32051,,,Recuitment,Bigeye tuna,recruitment,optimistic,22410,44786,,CI
2010,39584,,,Recuitment,Bigeye tuna,recruitment,optimistic,27867,55516,,CI
2011,37474,,,Recuitment,Bigeye tuna,recruitment,optimistic,24096,55688,,CI
2012,42824,,,Recuitment,Bigeye tuna,recruitment,optimistic,29380,61371,,CI
2013,39190,,,Recuitment,Bigeye tuna,recruitment,optimistic,26497,56715,,CI
2014,38677,,,Recuitment,Bigeye tuna,recruitment,optimistic,25646,56058,,CI
2015,39995,,,Recuitment,Bigeye tuna,recruitment,optimistic,28037,56019,,CI
2016,39373,,,Recuitment,Bigeye tuna,recruitment,optimistic,26540,56669,,CI
2017,59502.24144,,,Recuitment,Bigeye tuna,recruitment,optimistic,35395.1,91464.1,,CI
2018,51744.99565,,,Recuitment,Bigeye tuna,recruitment,optimistic,28298.9,79650.2,,CI
2019,46046.34759,,,Recuitment,Bigeye tuna,recruitment,optimistic,19354.4,77985.6,,CI
2000,17413,,,Recuitment,Bigeye tuna,recruitment,pessimistic,14616,20315,,CI
2001,25961,,,Recuitment,Bigeye tuna,recruitment,pessimistic,19973,32777,,CI
2002,34906,,,Recuitment,Bigeye tuna,recruitment,pessimistic,29831,40300,,CI
2003,23776,,,Recuitment,Bigeye tuna,recruitment,pessimistic,17547,30954,,CI
2004,28080,,,Recuitment,Bigeye tuna,recruitment,pessimistic,23073,33398,,CI
2005,42614,,,Recuitment,Bigeye tuna,recruitment,pessimistic,36075,49427,,CI
2006,34338,,,Recuitment,Bigeye tuna,recruitment,pessimistic,29168,39607,,CI
2007,19779,,,Recuitment,Bigeye tuna,recruitment,pessimistic,16141,23558,,CI
2008,30470,,,Recuitment,Bigeye tuna,recruitment,pessimistic,25093,36317,,CI
2009,23962,,,Recuitment,Bigeye tuna,recruitment,pessimistic,19543,28498,,CI
2010,27881,,,Recuitment,Bigeye tuna,recruitment,pessimistic,23345,32646,,CI
2011,24091,,,Recuitment,Bigeye tuna,recruitment,pessimistic,19447,29173,,CI
2012,29039,,,Recuitment,Bigeye tuna,recruitment,pessimistic,24306,33977,,CI
2013,26908,,,Recuitment,Bigeye tuna,recruitment,pessimistic,22231,31638,,CI
2014,25691,,,Recuitment,Bigeye tuna,recruitment,pessimistic,21033,30591,,CI
2015,29116,,,Recuitment,Bigeye tuna,recruitment,pessimistic,23959,34612,,CI
2016,29451,,,Recuitment,Bigeye tuna,recruitment,pessimistic,23292,35814,,CI
2017,40487.41054,,,Recuitment,Bigeye tuna,recruitment,pessimistic,29218.8,52259.9,,CI
2018,36980.19559,,,Recuitment,Bigeye tuna,recruitment,pessimistic,23421.6,50769.9,,CI
2019,30322.63788,,,Recuitment,Bigeye tuna,recruitment,pessimistic,14327.6,46707.2,,CI
1952,103502,48140.5,,Spawning biomass (mt),Bluefin tuna,biomass,,55361.5,151642.5,,SD
1953,97940.6,44013.5,,Spawning biomass (mt),Bluefin tuna,biomass,,53927.1,141954.1,,SD
1954,87974,39400.6,,Spawning biomass (mt),Bluefin tuna,biomass,,48573.4,127374.6,,SD
1955,75359.6,34615.5,,Spawning biomass (mt),Bluefin tuna,biomass,,40744.1,109975.1,,SD
1956,67700.3,30924,,Spawning biomass (mt),Bluefin tuna,biomass,,36776.3,98624.3,,SD
1957,76817,31888.7,,Spawning biomass (mt),Bluefin tuna,biomass,,44928.3,108705.7,,SD
1958,100683,37494.1,,Spawning biomass (mt),Bluefin tuna,biomass,,63188.9,138177.1,,SD
1959,136430,47933.4,,Spawning biomass (mt),Bluefin tuna,biomass,,88496.6,184363.4,,SD
1960,144411,52012.6,,Spawning biomass (mt),Bluefin tuna,biomass,,92398.4,196423.6,,SD
1961,156302,56526.6,,Spawning biomass (mt),Bluefin tuna,biomass,,99775.4,212828.6,,SD
1962,141277,54158,,Spawning biomass (mt),Bluefin tuna,biomass,,87119,195435,,SD
1963,120244,49051.2,,Spawning biomass (mt),Bluefin tuna,biomass,,71192.8,169295.2,,SD
1964,105870,44004.7,,Spawning biomass (mt),Bluefin tuna,biomass,,61865.3,149874.7,,SD
1965,93222,38683.6,,Spawning biomass (mt),Bluefin tuna,biomass,,54538.4,131905.6,,SD
1966,89235.6,35759.4,,Spawning biomass (mt),Bluefin tuna,biomass,,53476.2,124995,,SD
1967,83207.9,33123.1,,Spawning biomass (mt),Bluefin tuna,biomass,,50084.8,116331,,SD
1968,77465.5,31751.3,,Spawning biomass (mt),Bluefin tuna,biomass,,45714.2,109216.8,,SD
1969,64298.7,27561.1,,Spawning biomass (mt),Bluefin tuna,biomass,,36737.6,91859.8,,SD
1970,53960.6,23770.7,,Spawning biomass (mt),Bluefin tuna,biomass,,30189.9,77731.3,,SD
1971,46839,20336.2,,Spawning biomass (mt),Bluefin tuna,biomass,,26502.8,67175.2,,SD
1972,40446.6,16924.6,,Spawning biomass (mt),Bluefin tuna,biomass,,23522,57371.2,,SD
1973,35273.3,13759.5,,Spawning biomass (mt),Bluefin tuna,biomass,,21513.8,49032.8,,SD
1974,28502.3,10921.2,,Spawning biomass (mt),Bluefin tuna,biomass,,17581.1,39423.5,,SD
1975,26409.6,8861.39,,Spawning biomass (mt),Bluefin tuna,biomass,,17548.21,35270.99,,SD
1976,29274.3,7778.42,,Spawning biomass (mt),Bluefin tuna,biomass,,21495.88,37052.72,,SD
1977,35105.3,7908.38,,Spawning biomass (mt),Bluefin tuna,biomass,,27196.92,43013.68,,SD
1978,32218.9,7278.65,,Spawning biomass (mt),Bluefin tuna,biomass,,24940.25,39497.55,,SD
1979,27092.6,6843.14,,Spawning biomass (mt),Bluefin tuna,biomass,,20249.46,33935.74,,SD
1980,29657.3,6624.57,,Spawning biomass (mt),Bluefin tuna,biomass,,23032.73,36281.87,,SD
1981,27927.6,5122.76,,Spawning biomass (mt),Bluefin tuna,biomass,,22804.84,33050.36,,SD
1982,24239.7,4502.09,,Spawning biomass (mt),Bluefin tuna,biomass,,19737.61,28741.79,,SD
1983,14455.7,3631.97,,Spawning biomass (mt),Bluefin tuna,biomass,,10823.73,18087.67,,SD
1984,12651.1,3332.98,,Spawning biomass (mt),Bluefin tuna,biomass,,9318.12,15984.08,,SD
1985,12816.6,3126.86,,Spawning biomass (mt),Bluefin tuna,biomass,,9689.74,15943.46,,SD
1986,15146.6,3149.7,,Spawning biomass (mt),Bluefin tuna,biomass,,11996.9,18296.3,,SD
1987,13957.5,3137.16,,Spawning biomass (mt),Bluefin tuna,biomass,,10820.34,17094.66,,SD
1988,14931,3344.26,,Spawning biomass (mt),Bluefin tuna,biomass,,11586.74,18275.26,,SD
1989,14839.1,3389.89,,Spawning biomass (mt),Bluefin tuna,biomass,,11449.21,18228.99,,SD
1990,18952.7,3917.6,,Spawning biomass (mt),Bluefin tuna,biomass,,15035.1,22870.3,,SD
1991,25293.9,4581.42,,Spawning biomass (mt),Bluefin tuna,biomass,,20712.48,29875.32,,SD
1992,32252.4,5182.73,,Spawning biomass (mt),Bluefin tuna,biomass,,27069.67,37435.13,,SD
1993,43639.1,6304.8,,Spawning biomass (mt),Bluefin tuna,biomass,,37334.3,49943.9,,SD
1994,50277.2,7180.11,,Spawning biomass (mt),Bluefin tuna,biomass,,43097.09,57457.31,,SD
1995,62783.9,8725.94,,Spawning biomass (mt),Bluefin tuna,biomass,,54057.96,71509.84,,SD
1996,61826.1,8526.26,,Spawning biomass (mt),Bluefin tuna,biomass,,53299.84,70352.36,,SD
1997,56393.3,8088.21,,Spawning biomass (mt),Bluefin tuna,biomass,,48305.09,64481.51,,SD
1998,55887.5,7738.84,,Spawning biomass (mt),Bluefin tuna,biomass,,48148.66,63626.34,,SD
1999,51705.4,7584.71,,Spawning biomass (mt),Bluefin tuna,biomass,,44120.69,59290.11,,SD
2000,48935.8,7446.16,,Spawning biomass (mt),Bluefin tuna,biomass,,41489.64,56381.96,,SD
2001,46408.3,7062.91,,Spawning biomass (mt),Bluefin tuna,biomass,,39345.39,53471.21,,SD
2002,44491.8,6677.37,,Spawning biomass (mt),Bluefin tuna,biomass,,37814.43,51169.17,,SD
2003,43805.6,6230.64,,Spawning biomass (mt),Bluefin tuna,biomass,,37574.96,50036.24,,SD
2004,36701.2,5442.66,,Spawning biomass (mt),Bluefin tuna,biomass,,31258.54,42143.86,,SD
2005,30004.1,4760.32,,Spawning biomass (mt),Bluefin tuna,biomass,,25243.78,34764.42,,SD
2006,24088.6,4113.66,,Spawning biomass (mt),Bluefin tuna,biomass,,19974.94,28202.26,,SD
2007,19061.3,3475.88,,Spawning biomass (mt),Bluefin tuna,biomass,,15585.42,22537.18,,SD
2008,14805,2953.99,,Spawning biomass (mt),Bluefin tuna,biomass,,11851.01,17758.99,,SD
2009,11422.2,2286.08,,Spawning biomass (mt),Bluefin tuna,biomass,,9136.12,13708.28,,SD
2010,10837.1,1952.63,,Spawning biomass (mt),Bluefin tuna,biomass,,8884.47,12789.73,,SD
2011,12096.2,2005.98,,Spawning biomass (mt),Bluefin tuna,biomass,,10090.22,14102.18,,SD
2012,14577.6,2275.26,,Spawning biomass (mt),Bluefin tuna,biomass,,12302.34,16852.86,,SD
2013,16703.2,2477.72,,Spawning biomass (mt),Bluefin tuna,biomass,,14225.48,19180.92,,SD
2014,18502.7,2584.04,,Spawning biomass (mt),Bluefin tuna,biomass,,15918.66,21086.74,,SD
2015,21013.8,2897.78,,Spawning biomass (mt),Bluefin tuna,biomass,,18116.02,23911.58,,SD
2016,25009.1,3355.1,,Spawning biomass (mt),Bluefin tuna,biomass,,21654,28364.2,,SD
2017,25632,3705.87,,Spawning biomass (mt),Bluefin tuna,biomass,,21926.13,29337.87,,SD
2018,28228.1,4523.17,,Spawning biomass (mt),Bluefin tuna,biomass,,23704.93,32751.27,,SD
1952,4857,NA,,Recruitment,Bluefin tuna,recruitment,,NA,NA,,SD
1953,20954,3836.35,,Recruitment,Bluefin tuna,recruitment,,17117.65,24790.35,,SD
1954,34812.8,4651.72,,Recruitment,Bluefin tuna,recruitment,,30161.08,39464.52,,SD
1955,13442.2,2606.76,,Recruitment,Bluefin tuna,recruitment,,10835.44,16048.96,,SD
1956,33581.7,3386.97,,Recruitment,Bluefin tuna,recruitment,,30194.73,36968.67,,SD
1957,11689.9,1901.57,,Recruitment,Bluefin tuna,recruitment,,9788.33,13591.47,,SD
1958,3194.88,954.556,,Recruitment,Bluefin tuna,recruitment,,2240.324,4149.436,,SD
1959,7757.75,1719.43,,Recruitment,Bluefin tuna,recruitment,,6038.32,9477.18,,SD
1960,7730.86,1623.16,,Recruitment,Bluefin tuna,recruitment,,6107.7,9354.02,,SD
1961,23339.3,2292.09,,Recruitment,Bluefin tuna,recruitment,,21047.21,25631.39,,SD
1962,10737.4,1959.48,,Recruitment,Bluefin tuna,recruitment,,8777.92,12696.88,,SD
1963,28112.2,2913.22,,Recruitment,Bluefin tuna,recruitment,,25198.98,31025.42,,SD
1964,5695.71,1841.55,,Recruitment,Bluefin tuna,recruitment,,3854.16,7537.26,,SD
1965,10709.7,3897,,Recruitment,Bluefin tuna,recruitment,,6812.7,14606.7,,SD
1966,8679.6,3795.78,,Recruitment,Bluefin tuna,recruitment,,4883.82,12475.38,,SD
1967,10897.1,4239.19,,Recruitment,Bluefin tuna,recruitment,,6657.91,15136.29,,SD
1968,14535.2,3558.02,,Recruitment,Bluefin tuna,recruitment,,10977.18,18093.22,,SD
1969,6484.18,2009.44,,Recruitment,Bluefin tuna,recruitment,,4474.74,8493.62,,SD
1970,7027.03,2868.32,,Recruitment,Bluefin tuna,recruitment,,4158.71,9895.35,,SD
1971,12420,4393.64,,Recruitment,Bluefin tuna,recruitment,,8026.36,16813.64,,SD
1972,23551.8,4022.01,,Recruitment,Bluefin tuna,recruitment,,19529.79,27573.81,,SD
1973,10967.5,3203.37,,Recruitment,Bluefin tuna,recruitment,,7764.13,14170.87,,SD
1974,13321.7,2476.06,,Recruitment,Bluefin tuna,recruitment,,10845.64,15797.76,,SD
1975,11251.8,2084.68,,Recruitment,Bluefin tuna,recruitment,,9167.12,13336.48,,SD
1976,9252.7,2891.89,,Recruitment,Bluefin tuna,recruitment,,6360.81,12144.59,,SD
1977,25600.9,4355.92,,Recruitment,Bluefin tuna,recruitment,,21244.98,29956.82,,SD
1978,14036.7,4248.49,,Recruitment,Bluefin tuna,recruitment,,9788.21,18285.19,,SD
1979,12650,2969.89,,Recruitment,Bluefin tuna,recruitment,,9680.11,15619.89,,SD
1980,6910.34,2373,,Recruitment,Bluefin tuna,recruitment,,4537.34,9283.34,,SD
1981,13340.4,1967.09,,Recruitment,Bluefin tuna,recruitment,,11373.31,15307.49,,SD
1982,6512.31,1705.32,,Recruitment,Bluefin tuna,recruitment,,4806.99,8217.63,,SD
1983,10133.2,1991.94,,Recruitment,Bluefin tuna,recruitment,,8141.26,12125.14,,SD
1984,9184.31,2425.99,,Recruitment,Bluefin tuna,recruitment,,6758.32,11610.3,,SD
1985,9676.41,2292.25,,Recruitment,Bluefin tuna,recruitment,,7384.16,11968.66,,SD
1986,8180.59,1702.27,,Recruitment,Bluefin tuna,recruitment,,6478.32,9882.86,,SD
1987,6025.98,1504.05,,Recruitment,Bluefin tuna,recruitment,,4521.93,7530.03,,SD
1988,9304.49,1357.07,,Recruitment,Bluefin tuna,recruitment,,7947.42,10661.56,,SD
1989,4409.3,1259.33,,Recruitment,Bluefin tuna,recruitment,,3149.97,5668.63,,SD
1990,18095.5,1762.98,,Recruitment,Bluefin tuna,recruitment,,16332.52,19858.48,,SD
1991,10392.3,1731.96,,Recruitment,Bluefin tuna,recruitment,,8660.34,12124.26,,SD
1992,3958.07,864.92,,Recruitment,Bluefin tuna,recruitment,,3093.15,4822.99,,SD
1993,4449.55,786.14,,Recruitment,Bluefin tuna,recruitment,,3663.41,5235.69,,SD
1994,29313.5,1293.35,,Recruitment,Bluefin tuna,recruitment,,28020.15,30606.85,,SD
1995,16533.1,1597.63,,Recruitment,Bluefin tuna,recruitment,,14935.47,18130.73,,SD
1996,17787.3,1154.97,,Recruitment,Bluefin tuna,recruitment,,16632.33,18942.27,,SD
1997,11258.5,1179,,Recruitment,Bluefin tuna,recruitment,,10079.5,12437.5,,SD
1998,16018.3,1303.14,,Recruitment,Bluefin tuna,recruitment,,14715.16,17321.44,,SD
1999,22842,1343.33,,Recruitment,Bluefin tuna,recruitment,,21498.67,24185.33,,SD
2000,14382.9,1056.8,,Recruitment,Bluefin tuna,recruitment,,13326.1,15439.7,,SD
2001,17383.8,957.479,,Recruitment,Bluefin tuna,recruitment,,16426.321,18341.279,,SD
2002,13761.3,1001.33,,Recruitment,Bluefin tuna,recruitment,,12759.97,14762.63,,SD
2003,7109.86,851.515,,Recruitment,Bluefin tuna,recruitment,,6258.345,7961.375,,SD
2004,27929.7,1061.78,,Recruitment,Bluefin tuna,recruitment,,26867.92,28991.48,,SD
2005,15256.1,1035.9,,Recruitment,Bluefin tuna,recruitment,,14220.2,16292,,SD
2006,13659.7,874.772,,Recruitment,Bluefin tuna,recruitment,,12784.928,14534.472,,SD
2007,23145.5,956.387,,Recruitment,Bluefin tuna,recruitment,,22189.113,24101.887,,SD
2008,21265.4,959.528,,Recruitment,Bluefin tuna,recruitment,,20305.872,22224.928,,SD
2009,8002.23,794.85,,Recruitment,Bluefin tuna,recruitment,,7207.38,8797.08,,SD
2010,18230.4,899.965,,Recruitment,Bluefin tuna,recruitment,,17330.435,19130.365,,SD
2011,12573.6,810.14,,Recruitment,Bluefin tuna,recruitment,,11763.46,13383.74,,SD
2012,6844.71,634.888,,Recruitment,Bluefin tuna,recruitment,,6209.822,7479.598,,SD
2013,12797.9,723.335,,Recruitment,Bluefin tuna,recruitment,,12074.565,13521.235,,SD
2014,3783.31,480.594,,Recruitment,Bluefin tuna,recruitment,,3302.716,4263.904,,SD
2015,8777.72,905.168,,Recruitment,Bluefin tuna,recruitment,,7872.552,9682.888,,SD
2016,16503.5,2069.37,,Recruitment,Bluefin tuna,recruitment,,14434.13,18572.87,,SD
2017,6663.1,1123.53,,Recruitment,Bluefin tuna,recruitment,,5539.57,7786.63,,SD
2018,4657.8,1291.76,,Recruitment,Bluefin tuna,recruitment,,3366.04,5949.56,,SD
1984,15563.52,,,Spawning biomass (mt),Yellowfin tuna,biomass,,2981.463,49771.07,,CI
1985,22883.36,,,Spawning biomass (mt),Yellowfin tuna,biomass,,6727.819,60072.42,,CI
1986,26607.24,,,Spawning biomass (mt),Yellowfin tuna,biomass,,7899.442,66526.3,,CI
1987,23145.39,,,Spawning biomass (mt),Yellowfin tuna,biomass,,7284.956,57735.09,,CI
1988,17296.79,,,Spawning biomass (mt),Yellowfin tuna,biomass,,6006.438,43109.55,,CI
1989,17456.58,,,Spawning biomass (mt),Yellowfin tuna,biomass,,6353.725,43096.72,,CI
1990,17164.4,,,Spawning biomass (mt),Yellowfin tuna,biomass,,6248.289,42393.1,,CI
1991,16817.68,,,Spawning biomass (mt),Yellowfin tuna,biomass,,6368.113,41506.43,,CI
1992,17182.37,,,Spawning biomass (mt),Yellowfin tuna,biomass,,6550.569,42135.85,,CI
1993,17304.3,,,Spawning biomass (mt),Yellowfin tuna,biomass,,6309.742,42790.74,,CI
1994,16382.39,,,Spawning biomass (mt),Yellowfin tuna,biomass,,5722.649,40693.37,,CI
1995,16904.27,,,Spawning biomass (mt),Yellowfin tuna,biomass,,5970.959,41790.69,,CI
1996,19054.59,,,Spawning biomass (mt),Yellowfin tuna,biomass,,7191.8,45903.56,,CI
1997,14723.02,,,Spawning biomass (mt),Yellowfin tuna,biomass,,5783.111,35585.77,,CI
1998,13089.63,,,Spawning biomass (mt),Yellowfin tuna,biomass,,5421.689,31576.01,,CI
1999,13073.77,,,Spawning biomass (mt),Yellowfin tuna,biomass,,5507.45,31320.76,,CI
2000,13385.87,,,Spawning biomass (mt),Yellowfin tuna,biomass,,5415.997,31482.32,,CI
2001,16655.1,,,Spawning biomass (mt),Yellowfin tuna,biomass,,6545.48,35730.3,,CI
