year,data,error,SElo,SEup,metric,timeseries,lat,lon,depth,order,time
1989,3.0,0.0,3.0,3.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1989
1990,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1990
1991,6.0,0.0,6.0,6.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1991
1992,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1992
1993,18.0,0.0,18.0,18.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1993
1994,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1994
1995,25.0,0.0,25.0,25.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1995
1996,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1996
1997,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1997
1998,39.0,0.0,39.0,39.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1998
1999,11.0,0.0,11.0,11.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,1999
2000,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2000
2001,6.0,0.0,6.0,6.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2001
2002,7.0,0.0,7.0,7.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2002
2003,44.0,0.0,44.0,44.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2003
2004,14.0,0.0,14.0,14.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2004
2005,10.0,0.0,10.0,10.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2005
2006,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2006
2007,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2007
2008,27.0,0.0,27.0,27.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2008
2009,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2009
2010,21.0,0.0,21.0,21.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2010
2011,6.0,0.0,6.0,6.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2011
2012,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2012
2013,4.0,0.0,4.0,4.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2013
2014,6.0,0.0,6.0,6.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2014
2015,29.0,0.0,29.0,29.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2015
2016,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2016
2017,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2017
2018,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2018
2019,16.0,0.0,16.0,16.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2019
2020,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 33N,33.0,0.0,0.0,1.0,2020
1967,43.0,0.0,43.0,43.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1967
1968,51.0,0.0,51.0,51.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1968
1969,59.0,0.0,59.0,59.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1969
1970,60.0,0.0,60.0,60.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1970
1971,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1971
1972,43.0,0.0,43.0,43.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1972
1973,59.0,0.0,59.0,59.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1973
1974,18.0,0.0,18.0,18.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1974
1975,44.0,0.0,44.0,44.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1975
1976,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1976
1977,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1977
1978,67.0,0.0,67.0,67.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1978
1979,16.0,0.0,16.0,16.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1979
1980,70.0,0.0,70.0,70.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1980
1981,28.0,0.0,28.0,28.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1981
1982,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1982
1983,82.0,0.0,82.0,82.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1983
1984,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1984
1985,7.0,0.0,7.0,7.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1985
1986,75.0,0.0,75.0,75.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1986
1987,3.0,0.0,3.0,3.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1987
1988,10.0,0.0,10.0,10.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1988
1989,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1989
1990,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1990
1991,35.0,0.0,35.0,35.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1991
1992,66.0,0.0,66.0,66.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1992
1993,54.0,0.0,54.0,54.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1993
1994,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1994
1995,73.0,0.0,73.0,73.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1995
1996,52.0,0.0,52.0,52.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1996
1997,26.0,0.0,26.0,26.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1997
1998,48.0,0.0,48.0,48.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1998
1999,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,1999
2000,58.0,0.0,58.0,58.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2000
2001,65.0,0.0,65.0,65.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2001
2002,7.0,0.0,7.0,7.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2002
2003,23.0,0.0,23.0,23.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2003
2004,57.0,0.0,57.0,57.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2004
2005,53.0,0.0,53.0,53.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2005
2006,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2006
2007,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2007
2008,27.0,0.0,27.0,27.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2008
2009,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2009
2010,58.0,0.0,58.0,58.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2010
2011,4.0,0.0,4.0,4.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2011
2012,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2012
2013,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2013
2014,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2014
2015,40.0,0.0,40.0,40.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2015
2016,23.0,0.0,23.0,23.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2016
2017,52.0,0.0,52.0,52.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2017
2018,9.0,0.0,9.0,9.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2018
2019,65.0,0.0,65.0,65.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2019
2020,1.0,0.0,1.0,1.0,STI (yearday),Spring Transition Index @ 36N,36.0,0.0,0.0,2.0,2020
1967,30.0,0.0,30.0,30.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1967
1968,84.0,0.0,84.0,84.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1968
1969,61.0,0.0,61.0,61.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1969
1970,73.0,0.0,73.0,73.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1970
1971,18.0,0.0,18.0,18.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1971
1972,72.0,0.0,72.0,72.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1972
1973,65.0,0.0,65.0,65.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1973
1974,18.0,0.0,18.0,18.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1974
1975,67.0,0.0,67.0,67.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1975
1976,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1976
1977,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1977
1978,67.0,0.0,67.0,67.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1978
1979,56.0,0.0,56.0,56.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1979
1980,68.0,0.0,68.0,68.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1980
1981,50.0,0.0,50.0,50.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1981
1982,104.0,0.0,104.0,104.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1982
1983,89.0,0.0,89.0,89.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1983
1984,10.0,0.0,10.0,10.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1984
1985,19.0,0.0,19.0,19.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1985
1986,74.0,0.0,74.0,74.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1986
1987,72.0,0.0,72.0,72.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1987
1988,17.0,0.0,17.0,17.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1988
1989,94.0,0.0,94.0,94.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1989
1990,13.0,0.0,13.0,13.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1990
1991,63.0,0.0,63.0,63.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1991
1992,85.0,0.0,85.0,85.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1992
1993,152.0,0.0,152.0,152.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1993
1994,62.0,0.0,62.0,62.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1994
1995,81.0,0.0,81.0,81.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1995
1996,71.0,0.0,71.0,71.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1996
1997,41.0,0.0,41.0,41.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1997
1998,54.0,0.0,54.0,54.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1998
1999,83.0,0.0,83.0,83.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,1999
2000,60.0,0.0,60.0,60.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2000
2001,64.0,0.0,64.0,64.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2001
2002,8.0,0.0,8.0,8.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2002
2003,75.0,0.0,75.0,75.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2003
2004,57.0,0.0,57.0,57.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2004
2005,62.0,0.0,62.0,62.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2005
2006,102.0,0.0,102.0,102.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2006
2007,3.0,0.0,3.0,3.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2007
2008,12.0,0.0,12.0,12.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2008
2009,64.0,0.0,64.0,64.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2009
2010,62.0,0.0,62.0,62.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2010
2011,2.0,0.0,2.0,2.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2011
2012,41.0,0.0,41.0,41.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2012
2013,5.0,0.0,5.0,5.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2013
2014,68.0,0.0,68.0,68.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2014
2015,40.0,0.0,40.0,40.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2015
2016,73.0,0.0,73.0,73.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2016
2017,85.0,0.0,85.0,85.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2017
2018,28.0,0.0,28.0,28.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2018
2019,46.0,0.0,46.0,46.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2019
2020,28.0,0.0,28.0,28.0,STI (yearday),Spring Transition Index @ 39N,39.0,0.0,0.0,3.0,2020
1967,83.0,0.0,83.0,83.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1967
1968,85.0,0.0,85.0,85.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1968
1969,98.0,0.0,98.0,98.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1969
1970,73.0,0.0,73.0,73.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1970
1971,103.0,0.0,103.0,103.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1971
1972,103.0,0.0,103.0,103.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1972
1973,66.0,0.0,66.0,66.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1973
1974,98.0,0.0,98.0,98.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1974
1975,83.0,0.0,83.0,83.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1975
1976,102.0,0.0,102.0,102.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1976
1977,74.0,0.0,74.0,74.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1977
1978,67.0,0.0,67.0,67.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1978
1979,65.0,0.0,65.0,65.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1979
1980,77.0,0.0,77.0,77.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1980
1981,84.0,0.0,84.0,84.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1981
1982,105.0,0.0,105.0,105.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1982
1983,92.0,0.0,92.0,92.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1983
1984,112.0,0.0,112.0,112.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1984
1985,45.0,0.0,45.0,45.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1985
1986,86.0,0.0,86.0,86.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1986
1987,73.0,0.0,73.0,73.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1987
1988,29.0,0.0,29.0,29.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1988
1989,95.0,0.0,95.0,95.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1989
1990,79.0,0.0,79.0,79.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1990
1991,71.0,0.0,71.0,71.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1991
1992,120.0,0.0,120.0,120.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1992
1993,155.0,0.0,155.0,155.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1993
1994,63.0,0.0,63.0,63.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1994
1995,101.0,0.0,101.0,101.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1995
1996,116.0,0.0,116.0,116.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1996
1997,78.0,0.0,78.0,78.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1997
1998,72.0,0.0,72.0,72.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1998
1999,89.0,0.0,89.0,89.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,1999
2000,74.0,0.0,74.0,74.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2000
2001,65.0,0.0,65.0,65.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2001
2002,82.0,0.0,82.0,82.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2002
2003,106.0,0.0,106.0,106.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2003
2004,61.0,0.0,61.0,61.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2004
2005,98.0,0.0,98.0,98.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2005
2006,106.0,0.0,106.0,106.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2006
2007,3.0,0.0,3.0,3.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2007
2008,14.0,0.0,14.0,14.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2008
2009,63.0,0.0,63.0,63.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2009
2010,96.0,0.0,96.0,96.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2010
2011,89.0,0.0,89.0,89.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2011
2012,110.0,0.0,110.0,110.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2012
2013,9.0,0.0,9.0,9.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2013
2014,68.0,0.0,68.0,68.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2014
2015,43.0,0.0,43.0,43.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2015
2016,83.0,0.0,83.0,83.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2016
2017,116.0,0.0,116.0,116.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2017
2018,29.0,0.0,29.0,29.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2018
2019,98.0,0.0,98.0,98.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2019
2020,32.0,0.0,32.0,32.0,STI (yearday),Spring Transition Index @ 42N,42.0,0.0,0.0,4.0,2020
1967,84.0,0.0,84.0,84.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1967
1968,88.0,0.0,88.0,88.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1968
1969,116.0,0.0,116.0,116.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1969
1970,75.0,0.0,75.0,75.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1970
1971,103.0,0.0,103.0,103.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1971
1972,103.0,0.0,103.0,103.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1972
1973,80.0,0.0,80.0,80.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1973
1974,101.0,0.0,101.0,101.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1974
1975,82.0,0.0,82.0,82.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1975
1976,101.0,0.0,101.0,101.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1976
1977,74.0,0.0,74.0,74.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1977
1978,96.0,0.0,96.0,96.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1978
1979,128.0,0.0,128.0,128.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1979
1980,110.0,0.0,110.0,110.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1980
1981,174.0,0.0,174.0,174.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1981
1982,107.0,0.0,107.0,107.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1982
1983,128.0,0.0,128.0,128.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1983
1984,147.0,0.0,147.0,147.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1984
1985,124.0,0.0,124.0,124.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1985
1986,148.0,0.0,148.0,148.0,STI (yearday),Spring Transition Index @ 45N,45.0,0.0,0.0,5.0,1986
